,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,1.31,1.39,1.38,1.33,1.23,0.48,0.66,0.44,0.49,0.42,0.61,0.31,0.4,0.45,0.38
d_1,1.45,0.66,1.66,1.48,1.26,1.13,0.61,0.45,0.56,0.91,0.59,0.44,0.42,0.54,0.45,0.26
e_1,0.96,1.41,0.66,1.65,1.44,1.34,0.71,0.72,0.58,0.62,0.51,0.62,0.52,0.49,0.96,0.66
c_1,1.51,1.59,1.31,0.63,1.77,1.31,0.58,0.63,0.77,0.33,0.52,0.47,0.46,0.5,0.44,0.48
b_1,1.67,1.7,1.57,0.91,0.62,1.96,0.88,0.68,0.72,0.66,0.71,0.63,0.44,0.59,0.54,0.48
a_1,1.99,1.88,1.9,1.75,1.03,0.57,1.02,0.99,0.64,0.65,0.72,0.73,0.61,1.41,0.66,0.59
h_1,2.63,2.16,2.15,2.57,1.83,1.96,0.57,0.98,0.77,0.77,0.67,0.66,0.78,0.64,0.63,0.61
g_1,2.64,2.46,2.11,2.5,2.56,1.81,0.82,0.55,0.82,0.88,0.73,0.84,0.57,1.01,0.73,0.87
c_0,2.62,1.49,2.22,4.1,2.24,2.4,1.22,1.19,0.62,1.27,1.09,0.86,0.79,0.87,0.92,0.63
d_0,2.51,3.6,1.47,2.79,2.12,2.44,1.22,1.38,0.94,0.62,0.91,1.04,0.74,0.76,0.84,0.83
b_0,2.82,2.05,2.23,3.14,4.34,2.08,1.31,1.28,0.58,0.98,0.61,0.8,0.79,1.07,0.83,0.73
f_0,4.1,2.76,2.38,2.39,2.52,2.06,1.19,0.83,0.93,0.94,1.0,0.6,0.91,0.98,0.93,0.52
h_0,2.99,2.73,2.47,2.63,2.62,1.99,1.37,1.33,0.89,1.0,0.97,0.83,0.98,0.79,0.95,0.82
a_0,3.07,2.72,2.74,2.77,2.75,3.41,1.43,1.14,0.9,1.16,0.66,0.98,0.93,0.58,1.22,0.82
e_0,3.77,2.77,3.14,2.9,2.99,2.35,1.27,1.26,1.08,1.08,1.07,0.6,0.93,0.86,0.56,0.71
g_0,3.35,3.55,2.44,2.54,2.59,2.85,1.08,1.61,1.04,1.09,1.11,1.15,0.72,1.02,1.01,1.08
