,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.7,2.37,1.83,2.75,2.26,2.29,7.68,18.68,8.49,9.64,12.56,12.14,9.47,16.36,7.74,18.03
f_1,3.62,6.04,2.14,2.25,1.76,1.93,7.51,9.77,8.04,10.01,10.25,5.59,10.83,15.88,7.59,13.04
d_1,2.24,2.26,6.53,1.77,1.95,2.05,9.4,6.25,8.76,19.17,12.61,11.97,12.42,16.3,14.0,18.09
c_1,2.06,1.97,2.1,6.71,4.21,2.31,7.78,9.51,6.92,5.37,7.39,11.03,9.95,15.73,11.01,17.22
b_1,1.89,2.23,2.22,2.34,7.68,4.6,7.25,10.16,7.74,8.78,6.58,10.31,8.11,15.28,13.57,13.11
a_1,2.2,2.6,2.12,2.46,2.36,11.34,8.56,8.71,7.67,10.48,11.44,11.68,6.71,15.17,11.97,14.05
h_1,2.69,3.4,2.43,2.28,2.36,1.98,17.42,9.84,11.02,9.92,11.57,10.67,12.36,13.58,13.25,23.47
d_0,2.14,2.39,1.6,4.63,2.62,2.38,7.63,18.46,9.0,7.65,12.27,12.32,12.65,17.8,11.66,14.46
g_1,2.09,2.03,3.71,2.52,2.35,2.05,9.32,9.12,22.21,12.65,12.38,18.8,13.14,17.48,16.17,14.84
c_0,2.43,2.75,2.83,2.16,1.62,2.16,9.56,11.71,9.83,19.73,24.24,14.08,16.58,18.84,13.52,19.54
b_0,2.43,2.8,2.47,2.67,1.89,1.71,10.34,11.79,10.8,12.34,21.32,13.23,25.43,19.82,14.69,18.8
f_0,1.89,1.81,2.87,2.76,2.91,2.5,9.71,12.02,9.7,11.44,14.24,22.77,13.39,18.74,27.29,22.63
a_0,2.76,2.55,2.5,2.57,2.43,2.03,9.7,11.5,8.61,10.86,11.22,13.5,26.49,19.18,13.99,16.38
h_0,2.4,3.22,2.86,2.39,2.3,1.97,6.48,10.57,12.56,11.78,11.53,12.29,12.5,14.92,13.16,25.75
e_0,1.78,2.83,2.85,2.65,2.52,3.28,8.15,9.53,8.85,12.02,14.57,13.3,13.03,21.98,26.41,20.17
g_0,2.12,2.18,3.82,2.32,2.74,2.13,8.77,9.01,6.92,11.3,11.01,19.36,10.98,18.08,16.78,13.8
