,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.2,0.95,0.96,0.9,0.72,0.62,0.68,0.61,0.58,0.62,0.57,0.51,0.58,0.58,0.48
e_1,0.85,1.0,0.88,1.17,0.97,0.82,0.78,0.86,0.69,0.63,0.62,0.71,0.59,0.6,0.6,0.6
d_1,1.06,1.1,1.0,0.89,0.91,0.86,0.72,0.67,0.55,0.82,0.65,0.63,0.61,0.57,0.5,0.57
c_1,1.01,0.88,1.16,1.0,1.16,0.89,0.71,0.48,0.74,0.6,0.53,0.62,0.65,0.55,0.55,0.58
b_1,1.09,1.01,1.06,0.87,1.0,1.32,0.78,0.66,0.73,0.81,0.73,0.6,0.57,0.54,0.65,0.59
a_1,1.38,1.21,1.15,1.11,0.8,1.0,0.92,0.92,0.86,0.88,0.96,0.76,0.78,0.76,0.66,0.69
h_1,1.66,1.32,1.42,1.35,1.28,0.98,1.0,0.85,1.06,0.8,0.8,0.79,0.85,0.72,0.94,0.73
d_0,1.44,1.13,1.57,2.06,1.58,1.1,1.19,1.0,1.11,0.82,0.88,0.94,0.94,0.86,0.98,1.04
g_1,1.6,1.48,1.86,1.35,1.39,1.19,0.95,0.92,1.0,0.99,0.91,1.07,0.78,0.84,0.81,0.84
c_0,1.78,1.59,1.26,1.63,1.29,1.12,1.19,1.19,0.99,1.0,1.24,0.93,1.01,1.09,0.93,0.93
b_0,1.69,1.6,1.53,1.76,1.43,1.03,1.24,1.12,1.08,0.84,1.0,0.99,1.02,1.28,0.93,0.84
f_0,1.76,1.39,1.59,1.56,1.71,1.29,1.23,1.08,0.94,1.03,1.01,1.0,1.0,0.96,0.77,1.28
h_0,1.91,1.67,1.66,1.56,1.65,1.33,1.17,1.01,1.31,0.99,0.99,1.0,1.0,0.94,1.0,0.86
a_0,1.83,1.61,1.66,1.92,1.86,1.33,1.41,1.15,1.13,0.96,0.8,1.01,1.09,1.0,0.99,0.9
g_0,1.67,1.68,1.94,1.77,1.65,1.45,1.09,1.04,1.22,1.05,1.05,1.29,0.98,1.0,1.0,1.07
e_0,2.04,1.68,1.77,1.68,1.63,1.43,1.35,1.02,1.23,1.06,1.1,0.8,1.15,1.13,0.95,1.0
