,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.91,0.78,1.04,0.89,0.62,0.49,0.65,0.41,0.57,0.39,0.41,0.34,0.4,0.33,0.35
d_1,1.09,1.0,1.01,1.01,0.81,0.72,0.5,0.55,0.57,0.33,0.44,0.37,0.4,0.23,0.39,0.3
f_1,1.29,0.99,1.0,1.04,0.71,0.81,0.45,0.37,0.41,0.43,0.39,0.35,0.31,0.43,0.33,0.33
c_1,0.96,0.99,0.96,1.0,1.46,0.64,0.54,0.31,0.4,0.41,0.38,0.46,0.36,0.3,0.36,0.28
b_1,1.12,1.24,1.41,0.69,1.0,1.43,0.5,0.49,0.47,0.51,0.42,0.37,0.44,0.33,0.28,0.3
a_1,1.62,1.39,1.23,1.57,0.7,1.0,0.75,0.64,0.6,0.79,0.66,0.57,0.46,0.42,0.34,0.4
h_1,2.08,2.07,2.31,1.9,2.03,1.34,1.0,0.99,0.96,1.1,0.72,0.75,0.72,0.69,0.61,0.68
d_0,1.44,1.73,2.84,3.25,2.04,1.56,1.05,1.0,0.86,0.9,1.06,0.72,0.77,0.74,0.66,0.7
c_0,2.44,1.74,2.47,2.56,2.2,1.59,1.02,1.12,1.0,0.95,1.27,1.0,0.76,0.82,0.84,0.74
g_1,1.73,3.05,2.33,2.47,1.91,1.3,0.9,1.11,1.12,1.0,1.02,1.21,0.58,0.94,0.76,0.68
b_0,2.4,2.31,2.63,2.69,2.43,1.44,1.4,0.92,0.78,1.01,1.0,0.93,0.81,0.83,0.69,1.15
f_0,2.3,2.63,2.97,2.29,2.66,1.85,1.3,1.35,1.04,0.8,1.04,1.0,0.95,0.8,0.95,0.69
h_0,2.77,2.61,3.23,2.8,2.35,2.04,1.46,1.26,1.22,1.75,1.21,1.08,1.0,1.02,0.72,0.66
g_0,2.42,4.23,2.48,3.39,2.8,2.24,1.43,1.33,1.19,1.13,1.12,1.34,0.97,1.0,0.82,0.85
e_0,2.81,2.56,3.16,3.05,3.65,2.62,1.61,1.61,1.3,1.24,1.4,1.05,1.32,1.24,1.0,0.74
a_0,2.73,3.2,3.2,3.37,3.54,,1.6,1.47,1.31,1.58,0.9,1.37,1.47,1.08,1.2,1.0
