,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.51,0.68,0.8,0.69,0.57,0.66,0.72,0.66,1.24,0.78,0.75,0.7,0.72,0.79,0.44,0.85
f_1,1.07,1.54,0.75,0.62,0.59,0.47,0.58,0.7,0.81,0.84,0.78,0.39,0.62,0.8,0.58,0.72
c_1,0.6,0.66,1.55,0.67,1.06,0.54,0.83,0.73,0.7,0.66,0.39,0.88,0.73,0.84,0.65,0.86
d_1,0.63,0.71,0.63,1.57,0.68,0.57,0.9,0.77,0.69,0.98,1.28,0.82,0.66,0.74,0.77,0.61
b_1,0.73,0.76,0.58,0.66,1.6,1.05,0.83,0.64,0.71,0.47,0.89,0.67,0.59,0.99,0.67,0.92
a_1,0.72,0.84,0.75,0.8,0.55,1.7,1.15,0.88,0.87,0.88,0.79,0.8,0.65,1.03,0.73,0.84
h_1,0.89,1.26,0.75,0.89,0.92,0.54,1.76,1.2,1.05,1.02,1.04,0.86,0.86,0.87,1.07,1.42
g_1,0.94,0.88,0.87,1.26,0.81,0.6,0.96,1.81,0.96,1.06,0.94,1.44,0.74,0.97,1.04,0.86
d_0,0.8,0.97,1.57,0.55,1.02,0.72,1.0,0.94,1.59,1.21,0.82,1.05,0.97,1.3,1.02,1.02
b_0,1.03,0.95,1.03,0.98,0.55,0.7,1.12,1.03,0.97,1.66,1.08,1.18,1.76,1.29,1.01,1.06
c_0,1.08,1.0,0.84,0.9,0.65,0.87,1.1,1.03,1.3,1.83,1.62,1.11,1.09,1.29,1.11,1.09
f_0,0.87,0.7,1.0,0.98,1.07,0.76,1.17,0.97,1.15,1.17,1.06,1.74,1.16,1.31,1.8,0.95
a_0,0.99,1.06,0.98,1.11,1.15,0.48,1.04,1.05,1.22,1.08,1.09,1.01,1.72,1.58,1.0,1.27
h_0,1.06,1.35,1.04,1.11,0.8,0.73,0.82,1.39,0.98,1.11,1.06,1.08,0.96,0.87,0.78,1.29
e_0,0.91,1.27,1.08,0.94,0.9,0.72,1.05,0.97,1.14,1.34,1.17,1.09,1.32,1.56,1.7,1.37
g_0,1.11,0.88,0.95,1.5,0.87,0.81,0.92,0.73,1.13,1.45,1.2,1.64,1.1,1.15,1.0,1.05
