,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.92,0.43,0.48,0.32,0.32,0.28,0.34,0.26,0.6,0.34,0.32,0.28,0.24,0.35,0.16,0.31
f_1,0.68,0.92,0.38,0.36,0.3,0.23,0.29,0.28,0.38,0.35,0.33,0.18,0.22,0.34,0.16,0.28
c_1,0.37,0.38,0.91,0.36,0.55,0.28,0.37,0.28,0.36,0.25,0.2,0.34,0.23,0.33,0.24,0.31
d_1,0.37,0.41,0.35,0.92,0.33,0.27,0.41,0.33,0.29,0.44,0.6,0.32,0.27,0.36,0.27,0.29
b_1,0.42,0.4,0.37,0.34,0.9,0.49,0.37,0.27,0.31,0.24,0.31,0.27,0.18,0.35,0.19,0.29
a_1,0.44,0.41,0.4,0.41,0.33,0.9,0.42,0.35,0.33,0.35,0.3,0.27,0.21,0.39,0.24,0.27
h_1,0.45,0.59,0.39,0.43,0.35,0.22,0.64,0.39,0.32,0.35,0.37,0.27,0.27,0.32,0.27,0.39
g_1,0.39,0.41,0.42,0.58,0.33,0.25,0.38,0.64,0.29,0.38,0.37,0.47,0.23,0.37,0.32,0.23
d_0,0.43,0.44,0.67,0.3,0.41,0.26,0.33,0.28,0.53,0.37,0.25,0.29,0.27,0.36,0.25,0.3
b_0,0.45,0.49,0.42,0.46,0.28,0.22,0.39,0.33,0.37,0.59,0.44,0.35,0.55,0.42,0.29,0.37
c_0,0.48,0.47,0.37,0.44,0.29,0.28,0.39,0.31,0.39,0.66,0.56,0.34,0.4,0.43,0.28,0.36
f_0,0.34,0.37,0.46,0.45,0.45,0.25,0.41,0.35,0.39,0.4,0.4,0.56,0.34,0.4,0.53,0.33
a_0,0.42,0.5,0.41,0.45,0.43,0.19,0.37,0.29,0.41,0.36,0.36,0.29,0.48,0.43,0.25,0.4
h_0,0.47,0.54,0.41,0.45,0.35,0.26,0.3,0.4,0.34,0.36,0.34,0.3,0.26,0.28,0.23,0.38
e_0,0.37,0.52,0.45,0.45,0.36,0.19,0.37,0.31,0.37,0.42,0.37,0.34,0.34,0.46,0.48,0.37
g_0,0.47,0.34,0.43,0.56,0.34,0.27,0.35,0.23,0.37,0.43,0.37,0.43,0.32,0.35,0.27,0.27
