,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,35.27,0.07,0.06,0.08,0.06,0.09,0.35,0.25,0.54,0.45,0.37,0.28,0.4,0.53,,0.34
f_1,0.12,37.02,0.05,0.07,0.08,0.06,0.3,0.21,0.41,0.29,0.39,,0.4,0.6,0.25,0.53
d_1,0.05,0.07,40.77,0.06,0.07,0.04,0.31,0.3,,0.74,0.4,0.37,0.27,0.57,0.41,0.74
c_1,0.07,0.05,0.08,42.56,0.15,0.06,0.33,0.32,0.43,,0.23,0.29,0.44,0.45,0.39,0.55
b_1,0.08,0.07,0.07,0.06,49.26,0.14,0.31,0.38,0.37,0.2,,0.35,0.3,0.69,0.25,0.65
a_1,0.06,0.05,0.05,0.07,0.09,76.04,0.22,0.33,0.31,0.45,0.39,0.36,,0.82,0.38,0.44
h_1,0.21,0.45,0.26,0.24,0.24,0.19,27.85,1.55,1.65,1.27,1.43,1.38,1.36,,1.5,2.43
g_1,0.23,0.16,0.46,0.25,0.24,0.22,1.43,32.43,1.4,1.31,1.04,2.57,1.2,1.89,1.56,
d_0,0.4,0.28,,0.62,0.32,0.39,1.43,1.25,17.51,2.17,1.97,1.8,1.61,3.62,1.76,3.5
c_0,0.29,0.37,0.35,,0.27,0.28,1.32,1.37,1.7,18.52,3.81,2.14,2.14,3.06,2.4,3.82
b_0,0.35,0.32,0.32,0.26,,0.29,1.34,1.5,2.36,2.15,21.17,2.34,3.3,2.82,2.07,1.64
f_0,0.26,,0.44,0.33,0.24,0.56,1.2,0.97,2.78,2.16,1.74,24.34,2.28,3.1,4.11,2.41
a_0,0.24,0.39,0.26,0.36,0.45,,1.37,1.68,1.2,2.34,2.18,2.28,24.53,3.78,2.08,3.34
h_0,0.57,0.83,0.62,0.73,0.47,0.6,,1.82,2.67,2.72,2.76,1.99,3.37,,2.64,6.63
e_0,,0.33,0.32,0.36,0.32,0.5,2.04,1.87,2.2,1.45,1.86,2.66,,3.48,30.14,2.98
g_0,0.49,0.58,0.76,0.49,0.38,,2.09,,2.85,3.01,2.32,4.94,3.01,5.11,3.9,
