,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.66,1.1,1.05,1.01,1.06,0.9,0.39,0.38,0.39,0.48,0.36,0.36,0.31,0.24,0.29,0.33
c_1,1.1,0.64,0.87,1.26,1.43,0.98,0.41,0.27,0.43,0.5,0.32,0.35,0.35,0.31,0.36,0.32
e_1,0.82,1.28,0.64,1.15,1.0,0.95,0.55,0.53,0.41,0.5,0.41,0.5,0.35,0.36,0.48,0.37
b_1,1.29,0.74,1.1,0.63,1.19,1.3,0.58,0.37,0.52,0.57,0.51,0.41,0.42,0.34,0.38,0.33
d_1,1.15,1.06,1.39,1.09,0.63,0.97,0.48,0.57,0.47,0.33,0.43,0.44,0.47,0.35,0.36,0.24
a_1,1.43,1.44,1.55,0.8,1.29,0.58,0.66,0.6,0.5,0.67,0.59,0.47,0.59,0.4,0.47,0.4
h_1,1.93,2.04,1.61,1.64,1.72,1.44,0.54,0.65,0.67,0.92,0.62,0.59,0.59,0.68,0.54,0.5
d_0,2.04,2.21,1.23,2.01,2.11,1.63,0.88,0.59,0.64,0.86,0.58,0.63,0.59,0.53,0.77,0.53
c_0,2.04,3.12,1.95,1.94,1.19,1.78,0.94,1.1,0.55,0.81,0.76,0.66,0.81,0.61,0.7,0.51
g_1,1.84,1.92,1.87,1.78,2.15,1.65,0.65,0.72,0.75,0.52,0.69,0.75,0.63,0.45,0.64,0.67
b_0,2.01,3.09,1.97,2.51,1.65,1.76,0.95,0.99,0.5,0.87,0.55,0.7,0.83,0.59,0.67,0.56
f_0,3.12,2.4,2.11,2.03,1.62,1.79,1.01,0.83,0.71,0.66,0.79,0.55,0.78,0.64,0.76,0.42
a_0,2.54,2.48,2.27,2.68,1.95,2.71,1.08,0.95,0.66,1.12,0.47,0.74,0.53,0.7,0.7,0.61
h_0,2.43,2.38,2.16,2.33,2.23,2.02,1.1,0.83,0.78,0.98,0.8,0.73,0.71,0.77,0.71,0.63
e_0,3.07,2.51,3.09,2.08,2.22,2.08,1.22,0.84,0.84,1.03,0.88,0.52,0.82,0.67,0.53,0.55
g_0,2.47,2.48,2.37,2.37,2.44,2.23,0.96,1.01,0.88,1.23,0.83,0.95,0.9,0.6,0.79,0.73
