,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,0.95,1.16,1.01,0.98,1.01,1.27,1.11,0.95,0.99,1.11,1.03,1.05,1.08,1.08
f_1,1.17,1.0,0.91,1.04,0.97,0.96,0.8,1.0,1.04,0.89,0.94,0.92,0.87,0.9,0.77,1.06
d_1,1.04,1.1,1.0,0.9,0.98,0.93,0.97,0.95,0.89,1.26,1.07,0.97,1.02,1.03,1.04,0.87
c_1,0.87,0.98,1.12,1.0,1.24,0.97,1.08,0.76,1.02,0.97,0.84,0.99,1.06,1.0,1.02,0.96
b_1,1.02,1.02,1.01,0.83,1.0,1.35,1.09,1.0,0.93,1.1,1.07,0.99,0.98,0.91,0.99,1.05
a_1,0.98,1.05,1.07,1.01,0.76,1.0,1.13,1.12,1.11,1.05,1.25,1.1,1.1,1.03,1.07,1.03
h_1,0.99,1.23,0.97,0.98,0.95,0.9,1.0,0.91,1.0,0.84,0.95,0.86,1.02,0.97,0.92,1.04
d_0,0.82,1.01,1.01,1.33,1.04,0.9,1.09,1.0,1.06,0.82,0.98,1.01,1.08,0.92,1.0,1.1
g_1,0.92,0.95,1.13,0.99,1.08,0.88,0.97,0.94,1.0,0.98,0.97,1.15,0.88,1.01,1.05,1.06
c_0,1.04,1.09,0.85,1.05,0.87,0.92,1.16,1.14,0.96,1.0,1.37,1.03,1.0,1.11,1.14,1.0
b_0,0.99,1.07,0.96,1.15,0.95,0.86,1.04,1.02,1.08,0.74,1.0,0.94,1.02,1.41,1.01,0.95
f_0,0.93,1.05,1.05,0.98,0.99,0.89,1.17,1.03,0.84,0.9,1.05,1.0,1.02,1.07,1.47,0.9
h_0,0.95,1.15,1.01,0.94,0.98,0.88,0.98,0.91,1.13,1.01,0.99,1.0,1.0,0.91,0.92,1.08
a_0,0.93,1.07,0.98,1.03,1.0,1.0,1.07,1.09,1.06,0.92,0.74,1.03,1.06,1.0,1.03,1.06
e_0,0.93,1.28,0.95,0.98,0.96,0.92,1.08,0.99,0.9,0.9,0.99,0.72,1.15,0.98,1.0,0.99
g_0,0.91,0.94,1.15,1.03,0.98,0.93,0.98,0.86,0.94,0.95,1.05,1.17,0.94,0.95,1.01,1.0
