,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11.61,1.59,0.61,0.65,0.55,0.44,0.8,0.9,0.81,0.89,0.87,0.49,0.93,0.89,0.61,0.74
e_1,0.84,11.67,0.55,0.74,0.63,0.65,0.97,2.28,0.79,0.85,1.2,0.92,1.13,0.9,0.78,0.91
d_1,0.7,0.64,15.19,0.46,0.61,0.62,0.94,0.56,3.05,1.02,1.13,1.2,1.04,1.23,1.05,1.18
c_1,0.55,0.52,0.62,13.38,1.82,0.73,0.79,0.76,0.42,0.64,0.59,0.98,0.84,0.9,1.03,0.92
b_1,0.52,0.59,0.6,0.71,15.04,1.64,0.97,0.86,0.75,0.86,0.61,1.08,0.98,0.59,0.96,1.12
a_1,0.67,0.59,0.9,0.71,0.54,21.11,1.06,0.88,0.92,1.18,0.82,0.97,0.94,0.67,1.19,0.92
h_1,1.27,0.55,0.95,0.86,0.54,0.57,3.78,0.92,0.92,1.52,1.08,1.01,0.62,1.29,1.16,1.53
d_0,0.76,0.53,0.42,2.52,0.77,0.68,1.15,2.11,0.65,1.13,0.92,1.12,1.22,1.07,1.05,0.93
c_0,0.92,0.83,0.86,0.7,0.46,0.67,1.15,0.85,2.55,1.21,3.47,1.01,1.14,1.72,1.19,1.24
g_1,0.62,0.63,1.76,0.8,0.65,0.61,0.91,0.9,0.98,4.73,1.19,2.15,1.17,0.92,1.08,0.77
b_0,0.95,0.62,0.97,0.94,0.35,0.74,1.07,1.22,1.02,0.93,2.83,0.93,1.35,3.06,1.02,1.02
f_0,0.51,0.38,1.09,0.92,0.81,0.81,1.52,0.88,1.35,1.13,1.51,3.55,1.23,1.43,3.66,1.43
h_0,1.23,0.72,0.83,0.74,0.63,0.85,0.64,0.9,0.95,1.68,1.21,1.1,0.74,0.82,1.0,1.56
a_0,0.89,0.69,0.93,0.91,0.75,0.39,1.41,0.94,1.19,1.27,1.38,1.11,1.28,3.37,1.06,1.15
e_0,0.79,0.4,0.91,0.95,0.74,0.93,1.36,0.79,1.2,1.15,1.39,0.93,1.49,1.29,3.29,1.45
g_0,0.69,0.47,1.98,0.73,0.52,0.78,1.19,0.73,1.21,0.84,1.44,2.08,1.13,1.15,1.46,1.03
