,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.41,3.44,2.28,4.79,3.15,3.89,1.93,1.88,1.66,1.55,1.81,1.93,1.53,1.5,,1.32
d_1,4.55,0.41,3.62,3.59,4.57,3.76,2.02,1.18,1.69,,1.48,1.34,1.84,1.41,1.78,0.83
f_1,4.14,3.95,0.4,3.01,3.78,3.58,1.69,2.05,1.61,1.59,,1.5,0.93,1.67,1.38,1.59
c_1,3.2,3.95,4.45,0.39,5.44,3.29,1.48,2.46,,0.88,1.75,1.31,1.39,1.8,1.89,1.33
b_1,4.32,3.62,3.65,1.87,0.38,4.15,2.01,1.64,1.7,1.5,1.57,,1.32,2.09,,1.49
a_1,3.29,3.01,4.42,3.59,2.13,0.32,1.84,2.3,1.7,1.9,,2.18,1.72,,1.19,1.51
h_1,1.87,1.9,1.82,1.89,1.63,2.15,0.27,0.92,0.75,0.7,0.83,0.92,,0.7,0.64,0.84
g_1,1.88,2.19,1.72,2.46,2.06,1.61,0.89,0.24,0.79,1.22,0.74,0.83,0.41,0.94,0.71,
c_0,1.57,0.98,1.66,,1.92,1.8,0.83,0.88,0.28,1.11,0.67,0.77,0.45,0.85,0.83,0.71
d_0,1.08,,1.47,1.87,1.65,1.37,0.97,0.83,0.66,0.28,0.84,0.91,0.57,0.75,0.53,0.6
f_0,1.37,1.57,,1.38,1.63,,0.83,0.66,0.75,0.67,0.26,0.82,0.73,,0.96,0.46
b_0,1.48,1.79,1.66,2.72,,1.38,0.74,0.71,0.48,0.67,0.78,0.26,0.86,1.01,0.66,0.41
h_0,1.26,1.06,1.43,1.22,1.01,1.49,,1.16,0.88,0.56,0.51,0.42,,0.46,0.52,0.55
a_0,1.82,1.99,1.52,1.53,1.51,,0.97,0.94,0.63,0.79,,0.35,0.62,0.22,,0.66
e_0,,1.42,2.06,1.67,,1.45,1.24,0.94,0.67,0.96,0.36,0.96,0.6,,0.22,0.6
g_0,1.72,1.76,1.3,1.23,1.21,1.1,0.46,,0.59,0.71,0.67,0.76,0.37,0.46,0.6,
