,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.75,0.71,0.5,0.77,0.54,0.46,0.9,0.72,1.69,0.97,1.01,0.82,1.0,1.21,0.42,0.89
f_1,1.04,2.73,0.67,0.57,0.52,0.58,0.84,0.9,0.75,0.74,0.9,0.28,0.87,0.78,0.61,0.83
d_1,0.57,0.67,3.01,0.51,0.57,0.71,0.82,1.08,0.35,1.78,1.12,0.97,1.01,0.79,1.21,1.02
c_1,0.55,0.6,0.55,3.18,1.18,0.52,0.77,0.84,0.9,0.31,0.62,0.94,0.92,0.95,1.1,0.84
b_1,0.62,0.58,0.67,0.62,3.52,1.1,0.78,0.82,0.84,0.84,0.44,1.03,0.98,0.62,0.74,0.82
a_1,0.6,0.66,0.71,0.53,0.49,5.5,1.12,0.87,0.87,1.01,1.06,1.34,1.11,0.44,1.15,0.95
h_1,0.66,1.08,0.88,0.7,0.69,0.6,3.33,1.38,0.98,1.05,1.13,1.0,0.53,0.81,1.0,1.56
g_1,0.55,0.6,1.26,0.73,0.7,0.63,1.12,3.47,1.09,1.19,1.46,1.81,1.16,1.08,1.18,1.05
d_0,0.67,0.81,0.29,1.48,0.76,0.58,1.43,1.06,2.34,0.62,0.98,1.28,1.18,1.33,1.2,1.22
c_0,0.77,0.95,0.73,0.56,0.5,0.61,1.34,1.25,1.25,2.25,2.21,1.34,1.16,1.6,1.24,1.49
b_0,0.85,0.8,0.78,0.79,0.38,0.66,1.22,1.06,1.25,1.03,2.57,1.13,1.18,2.61,1.1,1.34
f_0,0.56,0.53,0.83,0.84,0.84,0.63,1.02,1.05,1.18,1.16,1.32,3.04,1.52,1.25,3.18,1.38
h_0,0.66,0.97,0.84,0.79,0.73,0.72,0.77,1.09,1.03,1.16,1.12,1.31,0.63,1.32,1.22,2.05
a_0,0.63,0.92,0.75,0.92,0.82,0.33,1.34,1.01,1.08,0.91,1.3,1.02,1.27,3.56,1.21,1.1
e_0,0.37,0.76,0.93,0.9,0.8,0.69,1.14,1.13,1.35,1.28,1.31,1.38,1.36,0.99,3.82,1.54
g_0,0.57,0.55,1.35,0.78,0.7,0.73,1.21,0.75,0.88,1.03,0.83,2.12,1.19,1.15,1.25,0.91
