,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.24,0.67,0.51,0.69,0.46,0.36,1.05,0.89,2.21,1.2,1.15,1.16,1.33,0.92,1.46,0.57
f_1,1.07,2.28,0.51,0.5,0.45,0.4,0.93,0.84,1.07,1.02,1.25,0.4,1.37,0.87,1.05,0.72
d_1,0.58,0.67,2.44,0.47,0.43,0.45,1.08,0.97,0.61,2.09,1.24,1.14,1.66,0.99,1.28,0.86
c_1,0.55,0.54,0.53,2.43,1.03,0.32,1.05,0.94,1.3,0.54,0.69,1.2,1.4,0.91,1.1,0.94
b_1,0.54,0.68,0.61,0.47,2.63,0.85,0.94,0.91,0.92,1.16,0.46,1.04,1.46,0.77,0.95,0.9
a_1,0.55,0.56,0.67,0.56,0.51,3.17,1.07,0.9,1.13,1.25,1.06,1.32,1.58,0.39,1.3,0.96
h_1,0.64,1.01,0.66,0.7,0.62,0.37,3.11,1.58,1.51,1.26,1.54,1.17,1.18,1.27,2.0,1.03
g_1,0.63,0.63,1.09,0.67,0.58,0.52,1.38,3.37,1.1,0.98,1.37,2.09,1.72,1.16,1.17,1.29
d_0,0.66,0.73,0.36,1.37,0.71,0.45,1.23,0.96,2.64,1.13,1.28,1.18,2.03,1.2,1.49,1.09
c_0,0.81,0.86,0.67,0.51,0.45,0.55,1.28,1.24,1.65,2.79,2.95,1.17,2.06,1.18,1.8,1.33
b_0,0.77,0.74,0.8,0.82,0.28,0.3,1.56,1.33,1.49,1.46,2.98,1.39,1.68,2.54,1.8,1.2
f_0,0.6,0.4,0.73,0.87,0.61,0.57,1.42,1.45,1.45,1.49,1.57,3.13,2.19,1.25,2.0,2.49
h_0,0.75,1.07,0.75,0.68,0.56,0.48,0.78,1.54,1.21,1.22,1.46,1.28,0.91,1.11,2.47,1.05
a_0,0.69,0.8,0.86,0.87,0.47,0.23,1.33,1.19,1.66,1.51,1.62,1.35,2.06,3.3,1.7,1.08
g_0,0.66,0.8,1.11,0.65,0.49,0.55,1.15,0.87,1.04,1.34,1.77,2.03,1.83,1.31,1.37,1.28
e_0,0.4,0.77,0.83,0.8,0.73,0.55,1.43,1.23,1.71,1.61,1.62,1.5,2.0,1.41,1.77,3.34
