,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,0.99,1.34,1.29,2.7,16.31,30.78,27.98,42.48,34.8,41.99,78.68,83.06,105.09,108.35
f_1,1.19,1.0,0.96,1.25,1.06,3.03,12.06,27.83,26.25,32.37,33.33,35.55,76.11,67.08,84.57,98.82
d_1,1.03,1.05,1.0,0.88,1.23,2.66,13.97,21.08,35.16,31.59,33.17,37.67,67.88,74.48,87.33,81.76
c_1,0.75,0.8,1.1,1.0,1.71,2.45,12.06,22.35,21.12,20.28,23.93,38.64,51.14,75.85,91.39,92.54
b_1,0.77,0.94,0.81,0.6,1.0,3.37,11.32,21.2,25.6,23.04,33.01,31.19,52.92,64.17,77.62,77.96
a_1,0.36,0.33,0.38,0.4,0.3,1.0,4.95,9.93,9.01,10.83,13.48,13.41,26.05,31.47,29.23,36.26
h_1,0.06,0.08,0.07,0.08,0.09,0.2,1.0,2.01,1.81,2.06,2.4,2.61,5.16,5.73,6.13,8.55
g_1,0.03,0.04,0.05,0.04,0.05,0.11,0.5,1.0,0.98,1.04,1.26,1.91,2.66,2.63,4.14,3.94
c_0,0.04,0.04,0.03,0.04,0.04,0.11,0.53,1.03,1.0,1.3,1.56,1.52,3.21,3.07,3.45,3.57
d_0,0.02,0.03,0.03,0.05,0.04,0.09,0.49,0.99,0.74,1.0,1.1,1.46,2.03,2.43,3.19,3.52
b_0,0.03,0.03,0.03,0.04,0.03,0.07,0.39,0.79,0.65,0.92,1.0,1.18,3.24,2.81,2.81,3.03
f_0,0.02,0.03,0.03,0.03,0.03,0.08,0.37,0.52,0.67,0.65,0.83,1.0,1.53,2.26,3.33,1.99
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.2,0.4,0.33,0.49,0.32,0.64,1.0,1.26,1.32,1.73
h_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.39,0.33,0.41,0.39,0.43,0.82,1.0,1.11,1.38
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.16,0.26,0.3,0.31,0.38,0.31,0.79,0.95,1.0,0.94
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.25,0.27,0.29,0.32,0.48,0.59,0.71,1.11,1.0
