,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.94,0.4,0.44,0.36,0.44,0.26,0.3,0.27,0.48,0.21,0.25,0.19,0.18,0.25,0.15,0.2
f_1,0.65,0.94,0.43,0.4,0.36,0.22,0.25,0.24,0.24,0.2,0.15,0.22,0.18,0.2,0.12,0.18
c_1,0.48,0.42,0.94,0.39,0.58,0.24,0.31,0.24,0.21,0.15,0.23,0.19,0.2,0.25,0.17,0.18
d_1,0.49,0.47,0.36,0.94,0.36,0.28,0.3,0.25,0.17,0.38,0.25,0.28,0.24,0.23,0.18,0.18
b_1,0.39,0.46,0.4,0.46,0.94,0.44,0.31,0.24,0.31,0.26,0.24,0.2,0.16,0.23,0.18,0.25
a_1,0.47,0.63,0.54,0.48,0.4,0.93,0.39,0.28,0.33,0.31,0.25,0.27,0.12,0.28,0.26,0.19
h_1,0.72,0.89,0.61,0.61,0.55,0.37,0.75,0.5,0.42,0.31,0.3,0.34,0.27,0.26,0.26,0.34
g_1,0.7,0.65,0.71,0.96,0.59,0.43,0.43,0.74,0.36,0.39,0.5,0.36,0.29,0.35,0.29,0.23
d_0,0.59,0.83,1.18,0.47,0.59,0.39,0.49,0.41,0.64,0.29,0.36,0.35,0.31,0.35,0.23,0.36
c_0,0.87,0.95,0.6,0.63,0.6,0.42,0.58,0.48,0.5,0.64,0.42,0.7,0.37,0.41,0.3,0.37
f_0,0.79,0.69,0.84,0.69,0.66,0.47,0.59,0.41,0.54,0.4,0.64,0.48,0.41,0.45,0.57,0.3
b_0,0.86,0.82,0.82,0.79,0.36,0.33,0.54,0.58,0.45,0.39,0.39,0.66,0.57,0.4,0.32,0.34
a_0,0.91,0.9,0.81,0.71,0.76,0.4,0.6,0.56,0.48,0.43,0.51,0.36,0.63,0.43,0.38,0.34
h_0,0.8,1.19,0.77,0.81,0.67,0.43,0.41,0.56,0.57,0.47,0.36,0.39,0.43,0.33,0.31,0.44
e_0,0.54,1.15,0.78,0.93,0.79,0.54,0.63,0.47,0.52,0.52,0.36,0.44,0.3,0.5,0.62,0.36
g_0,0.81,0.91,0.94,1.15,0.63,0.5,0.57,0.39,0.47,0.42,0.64,0.47,0.4,0.4,0.41,0.32
