,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.54,0.84,1.35,0.91,0.81,0.6,0.86,0.89,0.91,1.08,0.98,0.8,1.01,0.88,0.68,1.0
d_1,1.05,1.55,0.87,0.79,0.79,0.73,1.03,0.93,1.56,0.81,1.17,1.03,1.03,1.04,0.99,0.84
e_1,0.87,0.85,1.56,1.08,0.84,0.71,1.04,1.05,1.04,1.7,1.02,1.13,1.26,0.89,0.84,1.12
c_1,0.94,0.88,0.8,1.57,1.4,0.69,0.97,0.88,0.72,0.9,0.8,0.96,1.17,0.88,0.86,1.07
b_1,0.92,1.01,0.88,0.73,1.61,1.31,1.01,0.91,0.99,1.03,0.79,1.06,1.16,0.8,0.97,1.23
a_1,1.14,1.01,0.93,1.03,0.8,1.76,1.25,1.1,1.25,1.04,1.2,1.18,1.42,0.74,1.05,1.2
h_1,1.49,1.18,1.09,1.23,0.88,0.83,1.87,1.51,1.31,1.16,1.36,1.17,1.35,1.23,1.12,1.69
g_1,1.12,1.62,0.94,1.13,1.09,0.89,1.16,1.9,1.35,1.14,1.32,1.76,1.22,1.14,1.29,1.28
c_0,1.39,1.23,1.15,1.22,0.88,0.79,1.3,1.38,1.78,1.47,2.05,1.4,1.6,1.48,1.16,1.39
d_0,1.11,1.04,0.94,1.86,1.11,0.86,1.4,1.3,1.06,1.73,1.45,1.32,1.4,1.25,1.15,1.35
b_0,1.27,1.31,1.18,1.46,0.81,0.75,1.32,1.29,1.29,1.32,1.83,1.38,1.59,2.05,1.14,1.33
f_0,1.13,1.35,0.98,1.35,1.07,0.93,1.34,1.1,1.46,1.55,1.49,1.8,1.61,1.33,2.24,1.32
h_0,1.64,1.43,1.22,1.07,1.07,0.91,1.02,1.73,1.45,1.34,1.34,1.3,1.39,1.11,1.21,1.73
a_0,1.27,1.25,1.3,1.41,1.13,0.84,1.19,1.37,1.34,1.45,1.21,1.41,1.65,1.85,1.41,1.39
e_0,1.49,1.22,1.12,1.22,1.2,1.04,1.49,1.37,1.65,1.43,1.65,1.13,1.68,1.47,1.86,1.41
g_0,1.22,1.88,1.18,1.22,0.98,0.97,1.18,1.19,1.44,1.26,1.49,1.91,1.55,1.24,1.43,1.33
