,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,0.93,1.21,1.14,0.9,1.06,1.3,1.09,0.96,0.99,1.09,1.05,1.13,0.99,1.03
f_1,1.23,1.0,0.88,1.0,0.95,0.9,0.85,1.04,1.0,0.96,0.98,0.97,0.85,0.98,0.83,0.97
d_1,1.05,1.15,1.0,0.92,0.89,0.93,0.99,0.98,0.82,1.23,1.11,0.99,1.04,0.97,1.0,0.83
c_1,0.83,0.98,1.11,1.0,1.25,1.03,1.0,0.75,1.06,0.82,0.89,0.99,1.0,0.92,0.97,1.0
b_1,0.88,1.03,1.1,0.8,1.0,1.46,1.03,0.89,1.04,1.11,1.01,1.0,1.0,0.91,0.96,1.1
a_1,1.12,1.1,1.05,0.98,0.71,1.0,1.18,1.08,1.13,1.03,1.12,1.02,1.05,1.04,1.26,1.08
h_1,0.95,1.18,1.01,0.97,0.98,0.88,1.0,0.95,1.12,0.92,0.92,0.93,0.98,0.92,0.95,1.13
d_0,0.77,0.98,1.03,1.34,1.13,0.93,1.01,1.0,1.02,0.76,0.91,0.99,1.05,0.95,1.03,1.06
g_1,0.94,1.03,1.2,0.91,0.93,0.87,0.88,0.98,1.0,1.09,0.92,1.12,0.92,1.03,1.12,1.1
c_0,1.0,1.05,0.84,1.2,0.93,0.96,1.08,1.33,0.92,1.0,1.27,1.07,1.07,1.17,1.12,1.08
b_0,0.97,1.02,0.93,1.2,1.05,0.88,1.07,1.04,1.05,0.78,1.0,0.92,1.1,1.26,1.06,1.08
f_0,0.93,1.01,0.99,1.02,1.03,0.99,1.11,1.09,0.91,0.98,1.01,1.0,1.15,0.97,1.4,0.91
h_0,0.98,1.15,1.04,0.99,0.98,0.92,0.98,0.93,1.08,0.94,0.91,0.86,1.0,0.84,0.91,1.12
a_0,0.95,1.01,1.0,1.07,1.06,0.85,1.1,1.0,0.96,0.84,0.81,1.02,1.22,1.0,1.02,0.91
e_0,1.04,1.17,1.03,1.0,1.06,0.85,1.03,0.97,0.87,0.93,0.93,0.71,1.06,0.95,1.0,1.03
g_0,0.98,1.01,1.17,1.01,0.95,0.93,0.88,0.91,0.88,0.94,0.96,1.11,0.89,1.04,0.94,1.0
