,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.66,2.25,1.38,2.13,1.95,1.72,0.93,1.0,0.74,1.3,0.77,0.75,0.55,0.72,1.4,0.84
d_1,2.67,0.65,2.15,2.39,1.83,1.92,0.95,2.28,0.79,0.6,0.77,0.63,0.68,0.37,0.77,0.63
f_1,2.26,2.11,0.66,2.18,1.68,1.96,0.82,0.65,0.72,0.95,0.72,1.54,0.48,0.92,0.76,0.73
c_1,1.92,2.31,1.99,0.65,2.93,1.74,0.92,0.46,1.54,0.84,0.76,0.88,0.67,0.57,0.76,0.63
b_1,2.21,2.55,3.05,1.27,0.63,3.44,0.96,0.87,0.86,1.0,1.49,0.66,0.77,0.6,0.67,0.73
a_1,3.33,2.81,2.25,3.25,1.39,0.57,1.29,1.01,0.94,1.68,1.23,0.98,0.79,0.74,0.71,1.64
h_1,2.75,2.74,2.98,2.37,3.03,2.15,0.6,1.14,1.16,1.4,0.76,0.86,1.33,0.78,0.84,0.92
d_0,1.58,4.4,3.69,3.59,2.96,2.44,1.28,0.67,1.0,1.25,1.24,0.85,0.85,0.91,0.97,0.85
c_0,3.2,1.7,3.27,6.09,3.2,2.55,1.27,1.27,0.66,1.29,1.12,1.09,0.82,0.95,1.09,0.94
g_1,2.4,3.34,3.27,3.15,2.67,2.26,1.02,1.28,1.32,0.56,1.16,1.29,0.62,1.58,0.98,0.95
b_0,3.07,2.66,3.34,3.46,5.31,2.51,1.39,0.98,0.65,1.2,0.62,1.0,0.84,0.93,0.87,1.24
f_0,2.75,2.94,7.28,2.94,3.36,2.79,1.42,1.46,1.01,0.89,1.1,0.65,1.01,0.74,0.95,0.85
h_0,3.16,3.02,3.51,3.67,3.24,3.27,2.62,1.32,1.23,2.04,1.3,1.2,1.51,1.06,0.84,0.81
g_0,2.76,4.39,3.48,4.01,3.69,3.32,1.46,1.45,1.23,1.94,1.23,1.21,0.95,1.73,0.98,1.11
e_0,5.72,2.63,3.77,3.47,5.41,3.77,1.67,1.77,1.2,1.35,1.34,0.89,1.19,1.2,0.57,0.83
a_0,3.23,3.41,3.87,3.83,4.97,,1.58,1.3,1.3,1.85,0.79,1.42,1.39,1.19,1.44,0.62
