,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,116.39,88.58,93.26,84.31,151.17,384.2,11317.81,17790.64,33990.86,20157.85,41275.56,48777.97,101320.77,141433.72,160953.91,225548.52
f_1,68.27,115.91,129.32,104.67,140.08,350.45,10579.81,24968.36,21827.82,21875.27,34037.76,41256.64,95310.94,118221.8,108911.14,260412.57
e_1,62.42,66.83,131.33,120.27,161.08,353.76,10832.18,32816.74,21722.23,21952.68,32999.55,44706.62,107984.35,126379.83,127333.66,263266.56
c_1,78.0,66.52,68.66,147.2,215.77,333.15,10050.01,16601.09,17196.03,18620.93,24803.58,41886.99,93440.39,106633.44,141404.55,220879.29
b_1,62.14,64.43,62.21,75.59,206.36,521.46,9314.18,17125.0,17450.03,16580.63,25695.73,36899.71,83365.94,81669.99,122627.12,201590.0
a_1,48.08,51.45,55.45,64.84,69.56,433.72,6833.47,11490.92,13215.19,13435.63,24119.23,28177.23,68367.7,65139.76,85920.04,154934.35
h_1,18.97,23.3,22.1,24.89,36.68,93.63,3560.49,4617.69,5414.62,6128.71,8382.43,12112.07,22204.49,25545.16,35835.91,73999.81
d_0,13.6,14.22,14.79,31.96,37.69,85.39,2440.71,5247.2,3738.11,4606.97,7239.18,9786.62,21839.24,25492.22,30423.76,58748.38
c_0,14.61,16.67,17.89,20.02,26.29,69.12,2446.84,4638.73,5690.21,4743.58,10874.2,10037.65,22313.21,32966.59,30269.09,52518.94
g_1,20.12,14.12,14.97,20.29,31.75,67.92,2012.19,3586.34,4555.81,6141.57,7378.54,12687.97,19129.78,20767.71,32032.19,44312.81
b_0,14.2,14.61,14.45,19.82,24.91,52.75,2129.89,3652.33,3760.51,4116.62,8081.57,8264.41,20873.13,34010.92,28656.71,45023.29
f_0,14.04,11.86,12.65,17.31,27.65,57.46,1715.42,3014.26,4017.25,3411.28,5995.63,9886.64,17709.97,20081.02,42476.31,39336.5
h_0,10.94,11.89,10.64,13.26,20.16,46.59,1308.5,2682.33,2930.75,3649.47,4626.25,6295.59,12942.42,16852.36,19606.99,41398.27
a_0,8.8,9.73,10.58,13.25,20.33,31.46,1496.3,2403.15,2598.33,3087.71,4114.4,5506.11,12897.97,20686.31,17547.29,31390.13
e_0,8.59,9.65,9.32,11.48,18.92,40.91,1168.84,2353.4,2667.03,2389.94,3935.12,4834.21,12470.22,14410.08,23191.34,32697.68
g_0,10.18,6.81,7.41,9.68,16.01,37.88,987.87,1645.63,2439.04,2003.78,3419.09,5794.28,9088.11,12069.07,15710.05,22621.7
