,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.92,0.34,0.66,0.4,0.32,0.19,0.36,0.26,0.36,0.3,0.23,0.26,0.34,0.31,0.23,0.13
d_1,0.46,0.93,0.41,0.31,0.35,0.2,0.35,0.33,0.28,0.56,0.33,0.39,0.41,0.32,0.24,0.22
e_1,0.43,0.34,0.92,0.44,0.34,0.25,0.37,0.3,0.61,0.32,0.32,0.32,0.38,0.31,0.23,0.18
c_1,0.39,0.39,0.35,0.92,0.62,0.23,0.37,0.27,0.32,0.22,0.3,0.23,0.35,0.32,0.18,0.21
b_1,0.42,0.38,0.39,0.4,0.9,0.43,0.38,0.29,0.32,0.31,0.32,0.23,0.32,0.33,0.15,0.23
a_1,0.44,0.44,0.37,0.45,0.32,0.89,0.38,0.34,0.36,0.31,0.37,0.35,0.39,0.32,0.15,0.25
h_1,0.56,0.45,0.4,0.42,0.36,0.23,0.66,0.38,0.38,0.32,0.31,0.35,0.28,0.42,0.21,0.24
g_1,0.39,0.63,0.37,0.4,0.39,0.26,0.35,0.63,0.3,0.4,0.47,0.36,0.38,0.26,0.2,0.27
d_0,0.43,0.37,0.4,0.68,0.42,0.21,0.39,0.3,0.54,0.25,0.29,0.29,0.32,0.35,0.26,0.19
c_0,0.46,0.47,0.41,0.36,0.33,0.29,0.44,0.36,0.42,0.55,0.41,0.58,0.42,0.34,0.31,0.28
f_0,0.37,0.55,0.36,0.41,0.38,0.28,0.42,0.41,0.37,0.42,0.56,0.37,0.45,0.34,0.26,0.47
b_0,0.52,0.53,0.39,0.44,0.31,0.21,0.4,0.32,0.39,0.34,0.38,0.52,0.46,0.37,0.46,0.24
h_0,0.58,0.47,0.44,0.39,0.37,0.25,0.3,0.37,0.35,0.34,0.36,0.34,0.3,0.42,0.23,0.22
g_0,0.36,0.61,0.42,0.4,0.35,0.26,0.41,0.3,0.35,0.37,0.48,0.37,0.34,0.27,0.26,0.25
a_0,0.47,0.51,0.42,0.42,0.33,0.19,0.48,0.35,0.42,0.34,0.41,0.36,0.44,0.38,0.46,0.24
e_0,0.47,0.53,0.24,0.46,0.39,0.27,0.47,0.36,0.35,0.37,0.38,0.38,0.45,0.41,0.25,0.46
