,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10651.19,247.98,240.13,246.72,388.97,1576.23,178768.76,382930.57,700093.83,836807.59,1196473.28,,7249609.51,4943939.92,5242675.84,10446849.62
e_1,162.77,12253.65,202.06,171.13,448.53,1450.45,197999.08,428074.22,1275459.75,860622.07,1416966.32,1429962.54,4324435.99,4474481.56,,11937948.43
c_1,129.81,123.76,17263.37,265.41,610.16,2192.9,186796.66,495103.87,749044.26,,1397646.92,1914203.78,6068321.3,3049309.96,7939553.22,11932184.79
d_1,179.82,137.93,182.14,18133.85,472.06,1845.8,163178.76,444518.74,,1422238.51,1532707.55,1611213.89,6451953.6,4619969.46,8019408.52,7317405.7
b_1,142.77,134.41,238.4,191.66,37238.08,3304.08,188451.08,513363.6,770958.66,985504.66,,1786320.69,4098160.11,5843629.1,6735574.38,13421682.89
a_1,121.44,220.63,145.02,283.15,290.85,262019.63,208810.26,474020.41,797298.74,926522.53,1169907.61,1759381.89,4678505.15,,8085184.88,9547254.76
h_1,670.17,525.01,670.17,971.8,1746.87,5269.19,8365461.09,2114944.87,2964434.42,3543326.81,3991609.18,5151473.24,,16747453.11,27749081.8,73725833.52
g_1,387.56,318.52,807.58,1194.91,1614.98,5455.91,653159.12,30384708.0,2521358.93,2547837.6,4967612.48,14287548.05,15892537.36,,30528156.51,
d_0,689.22,1079.41,1737.59,,1675.35,7074.83,886061.3,2271753.87,23654260.49,4228934.18,4534919.51,12845440.39,33797634.35,15740519.01,26080679.06,72592767.75
c_0,749.7,885.33,,1109.3,1450.21,11178.91,1020505.69,2633666.5,3164147.98,27509284.71,11045801.32,7127720.6,33978908.12,22013626.57,34554956.11,56671721.5
b_0,668.47,942.83,1013.48,881.78,,8499.73,733812.38,2878551.28,3330270.88,4316573.27,43415887.28,8903398.36,31567597.89,43055645.24,41964400.9,64418845.26
f_0,,544.99,1535.28,1129.84,1657.92,11085.26,967105.33,3161414.7,5204936.49,5231167.13,3059819.57,70485237.04,28551448.62,,59914491.45,51701207.51
h_0,1451.04,1440.44,1798.35,1357.37,2290.57,11915.85,,5345457.89,6084148.73,5302687.0,9190083.09,11258058.69,,35088240.3,41527271.72,130764749.99
a_0,787.12,836.01,1128.48,1083.22,2861.13,,947810.86,,2877232.9,3761511.96,7822888.47,,26070024.34,254235413.18,,38263183.0
e_0,703.31,,922.73,1027.14,2227.35,10725.98,911766.88,2152595.12,4575545.1,5317135.73,6130060.87,9794951.2,30282428.81,,400834352.42,53873651.77
g_0,1177.18,1234.98,1346.72,2595.67,2545.02,15353.38,1366751.39,,5964179.6,5257875.56,5218931.69,13699947.48,47704472.7,30499235.03,60641514.53,
