,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.71,0.63,0.6,0.73,0.61,0.52,0.91,0.94,1.71,0.83,0.97,1.0,0.94,1.11,0.5,1.0
f_1,1.2,2.74,0.53,0.56,0.46,0.47,0.85,0.74,0.83,0.72,0.48,0.91,0.92,0.92,0.47,0.8
d_1,0.49,0.69,3.26,0.52,0.56,0.7,0.92,0.88,0.34,2.0,0.85,1.04,0.89,0.92,1.11,0.92
c_1,0.53,0.61,0.6,3.24,1.17,0.48,0.92,0.76,0.85,0.28,0.86,0.7,0.95,0.74,0.89,0.94
b_1,0.57,0.59,0.55,0.62,3.46,1.14,0.92,0.95,0.91,0.89,1.06,0.39,0.9,0.71,1.06,0.86
a_1,0.61,0.68,0.64,0.63,0.54,4.98,0.72,0.77,0.87,0.97,0.91,1.09,1.28,0.62,0.88,1.05
h_1,0.63,0.98,0.9,0.6,0.69,0.67,2.91,1.51,0.91,1.12,1.14,1.06,0.71,1.28,1.24,1.28
g_1,0.64,0.65,1.27,0.69,0.58,0.67,0.97,3.58,0.83,1.06,1.83,1.28,1.14,1.16,1.37,0.69
d_0,0.62,0.79,0.33,1.56,0.82,0.73,1.04,1.15,2.41,0.83,1.25,1.31,1.02,0.97,1.24,1.17
c_0,0.67,0.88,0.85,0.37,0.63,0.81,1.2,1.27,1.09,2.5,1.29,2.4,1.21,1.3,1.69,1.4
f_0,0.6,0.48,0.93,0.81,0.78,0.61,1.14,1.18,1.13,1.25,2.87,1.27,1.48,1.4,2.96,1.31
b_0,0.71,0.87,0.84,0.81,0.35,0.57,1.12,1.04,1.16,0.94,1.47,2.67,1.27,2.21,1.41,1.67
h_0,0.71,1.11,0.79,0.88,0.73,0.53,0.78,1.41,1.01,0.94,1.11,1.28,0.68,1.18,1.3,1.67
a_0,0.71,0.88,0.92,0.72,0.7,0.3,1.32,1.05,0.98,1.16,1.5,1.09,1.71,3.49,1.4,1.33
e_0,0.41,0.82,0.79,0.93,0.78,0.89,1.14,1.2,1.16,1.14,1.1,1.18,1.29,0.97,3.67,1.44
g_0,0.65,0.62,1.26,0.8,0.81,0.63,1.19,0.81,0.95,0.98,1.87,1.12,1.29,1.13,1.39,0.94
