,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.4,0.44,0.25,0.3,0.3,0.37,0.49,0.49,0.58,0.48,0.59,,0.84,0.52,0.54,0.83
e_1,0.23,2.43,0.22,0.25,0.27,0.27,0.68,0.55,0.52,0.87,0.71,0.65,0.98,0.46,,0.82
d_1,0.26,0.27,2.51,0.23,0.24,0.25,0.53,1.02,0.39,,0.68,0.83,0.87,0.56,0.68,0.57
c_1,0.29,0.29,0.36,2.55,0.43,0.22,0.52,,0.49,0.49,0.7,0.7,0.81,0.42,0.42,0.84
b_1,0.27,0.29,0.25,0.24,2.63,,0.52,0.57,0.74,0.55,,0.62,0.95,0.53,0.64,0.71
a_1,0.2,0.24,0.29,0.33,,3.25,0.72,0.81,0.73,0.68,0.59,0.44,0.98,,,
h_1,0.76,0.45,0.55,0.54,0.63,0.56,3.8,1.01,0.89,1.28,1.54,1.13,,0.85,1.0,1.73
c_0,0.7,0.74,0.56,,0.7,0.46,1.23,3.47,0.95,1.28,2.01,1.44,1.56,1.62,1.64,1.34
g_1,0.51,0.48,0.86,0.56,0.39,0.43,1.12,1.49,4.31,0.99,0.95,1.54,1.22,1.7,,
d_0,0.8,0.61,,1.06,0.6,0.65,1.12,1.45,1.27,3.57,1.27,0.97,1.66,1.23,1.03,1.83
b_0,0.73,0.69,0.61,0.55,,0.55,0.77,1.13,1.2,1.48,3.82,1.41,1.74,2.34,1.17,2.37
f_0,,0.59,0.52,0.7,0.7,0.71,1.18,1.2,1.19,1.66,1.17,3.81,1.67,1.33,2.93,1.45
h_0,0.82,0.6,0.7,0.63,0.69,0.66,,1.76,1.92,2.34,1.86,1.47,,1.83,1.75,2.88
a_0,0.66,0.76,0.62,0.73,0.53,,1.27,1.44,0.96,1.59,1.1,1.33,1.38,4.61,1.6,1.49
e_0,0.63,,0.51,0.69,0.67,,1.46,1.23,,1.63,1.53,0.85,1.55,1.37,4.87,2.14
g_0,0.58,0.47,1.22,0.7,0.71,,1.82,1.85,,1.7,0.98,2.72,1.4,1.81,1.5,
