,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.83,1.16,0.98,0.96,0.99,1.02,1.05,1.34,0.99,0.96,1.18,1.02,1.02,0.97,1.05
f_1,1.21,1.0,1.01,1.02,0.94,0.89,0.78,1.0,1.0,0.99,0.96,0.87,0.89,0.87,0.78,1.09
c_1,0.84,0.99,1.0,1.03,1.31,1.03,1.06,0.99,0.77,0.84,0.84,1.06,0.98,0.98,0.99,1.0
d_1,1.0,1.01,0.96,1.0,1.01,0.94,1.03,0.86,1.1,1.09,1.26,1.0,1.01,0.97,1.01,0.82
b_1,1.01,1.07,0.79,0.98,1.0,1.37,1.04,1.04,0.87,0.98,1.08,0.9,0.82,1.07,0.99,1.04
a_1,1.0,1.08,0.99,1.05,0.74,1.0,1.25,1.19,1.0,1.19,0.98,1.02,1.15,1.14,1.25,1.04
h_1,0.97,1.33,0.94,0.97,0.95,0.78,1.0,1.1,0.93,0.95,0.98,0.9,1.01,1.04,1.05,1.18
g_1,0.96,0.99,0.99,1.15,0.97,0.84,0.92,1.0,0.87,0.98,0.98,1.19,0.98,0.86,1.12,0.98
d_0,0.79,0.97,1.32,0.96,1.12,0.96,1.03,1.11,1.0,1.03,0.83,1.01,1.01,1.07,1.08,1.0
b_0,0.99,1.06,1.16,0.92,0.99,0.87,1.02,0.99,1.0,1.0,0.83,1.04,1.43,1.02,1.03,0.99
c_0,1.09,1.07,1.15,0.8,0.92,1.04,1.04,0.97,1.28,1.23,1.0,1.0,1.18,1.11,1.09,1.05
f_0,0.86,1.13,0.99,1.0,1.14,0.93,1.06,0.85,0.96,0.96,0.98,1.0,1.12,1.07,1.38,0.84
a_0,0.94,1.12,1.02,0.96,1.22,0.85,0.97,0.99,1.04,0.71,0.83,0.91,1.0,1.09,0.89,1.06
h_0,0.99,1.11,1.03,1.03,0.94,0.87,0.97,1.15,0.91,0.93,0.88,0.93,0.91,1.0,0.87,1.12
e_0,1.01,1.32,0.98,0.95,1.03,0.79,0.93,0.85,0.95,1.05,0.95,0.73,1.18,1.16,1.0,1.0
g_0,0.98,0.93,0.99,1.18,0.96,0.95,0.86,0.99,1.01,1.0,0.96,1.14,0.98,0.89,1.02,1.0
