,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,89.08,45.23,91.51,78.64,135.61,365.02,10865.41,25449.34,24390.64,49268.35,40864.11,69134.34,126556.3,111744.8,94007.71,251050.75
f_1,67.99,90.07,72.88,89.46,123.69,304.87,8246.74,16137.28,23124.73,37105.6,36610.35,37365.02,100067.43,115508.11,98744.82,208405.95
c_1,34.71,39.68,129.17,90.72,177.32,326.3,9331.7,11838.57,11890.21,25834.17,31561.03,44248.62,89947.7,72829.35,124472.93,184255.98
d_1,40.71,39.34,41.65,156.55,95.62,317.54,8673.24,9265.51,34326.56,46904.86,36003.46,54897.47,100692.8,88624.82,105970.87,174832.78
b_1,28.54,35.38,46.87,69.88,206.9,503.11,7010.26,12926.03,18457.7,24073.73,25121.98,47151.43,84760.04,69954.17,86898.24,136747.95
a_1,21.14,27.65,38.58,45.76,49.26,516.67,5428.13,8886.29,16543.93,26515.09,21019.28,31681.72,75248.25,39555.21,72961.18,113437.36
h_1,9.78,14.57,16.99,19.86,27.94,82.1,3668.43,3062.08,6322.01,10323.75,11183.15,15604.11,18833.49,21661.81,30824.55,59256.35
d_0,8.36,8.66,25.08,12.89,25.74,71.14,2202.33,4516.95,4196.2,9144.73,8889.47,12682.6,23443.48,20859.59,27438.43,49752.64
c_0,9.32,8.84,10.41,14.86,19.32,59.46,1771.48,3045.03,6628.52,12185.17,7895.1,11704.66,21720.7,20984.78,22812.67,35856.5
b_0,7.47,8.1,12.21,11.69,11.35,40.42,1568.2,2551.65,3900.7,10191.83,6571.6,9005.35,17706.53,29270.83,18622.57,35938.73
g_1,6.47,6.78,10.37,16.73,17.89,51.52,1599.96,1821.1,3832.1,6886.71,11600.49,12172.76,14615.08,15470.84,17726.24,26658.06
f_0,4.65,5.74,11.46,13.57,15.02,51.19,1448.44,2247.22,3538.69,6343.03,6441.71,13530.36,18107.38,13843.8,32918.34,29002.52
h_0,4.77,6.78,8.61,10.79,12.81,38.8,985.44,1687.86,2987.29,5271.49,7237.14,6753.16,11760.1,11620.53,14506.24,30546.8
a_0,5.54,5.24,9.31,10.32,12.44,28.5,1314.19,2049.15,2710.21,4121.89,5983.15,7308.24,13029.53,19310.09,14742.32,26392.9
e_0,3.37,5.91,7.22,12.27,13.74,36.22,1000.55,1531.3,2768.09,4639.77,5633.6,5575.56,14394.31,11704.82,22432.76,23314.18
g_0,3.3,3.86,7.29,12.31,12.12,30.61,947.28,1233.77,2566.82,3667.64,3031.1,8574.83,10430.19,8985.71,13025.8,18709.34
