,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,3.05,3.5,3.24,3.3,2.44,1.0,1.02,0.9,0.96,0.94,1.77,0.69,0.89,0.69,1.0
d_1,3.82,1.07,3.26,3.24,2.94,2.82,1.39,0.91,1.13,3.03,0.84,0.98,0.69,0.91,0.59,0.77
e_1,2.37,3.87,1.07,3.41,3.56,2.52,1.31,1.47,1.1,1.25,0.96,1.04,0.74,0.8,0.88,1.3
c_1,3.53,4.26,3.59,1.07,3.51,4.21,1.32,1.35,2.27,0.67,0.91,1.01,0.77,0.97,0.78,0.98
b_1,3.86,4.1,4.36,2.53,1.07,4.39,1.51,1.4,1.26,1.22,2.72,1.0,1.04,0.99,0.87,1.05
a_1,5.79,5.05,5.5,4.3,2.95,1.07,2.0,1.88,1.38,1.39,2.12,1.43,1.05,2.7,1.09,0.9
h_1,8.06,6.42,7.14,7.84,6.55,5.99,1.38,2.82,2.19,2.12,1.91,1.82,2.47,1.75,1.63,1.75
g_1,10.94,8.79,7.47,9.56,8.44,6.99,2.77,1.39,2.29,1.99,2.13,2.26,1.68,2.2,2.27,1.91
c_0,9.23,5.55,8.25,15.07,10.8,9.17,3.34,3.35,1.61,2.98,2.98,2.6,1.98,2.51,1.77,2.25
d_0,8.92,15.1,5.59,10.45,9.66,9.22,4.19,4.58,2.55,1.66,2.69,2.67,2.38,2.46,2.06,3.15
b_0,10.95,9.17,10.41,14.61,17.36,7.48,3.67,3.29,1.69,2.53,1.66,2.45,2.26,3.62,2.45,2.53
f_0,15.5,9.07,9.45,10.75,11.44,12.75,3.98,2.82,2.76,2.76,2.71,1.62,2.48,2.28,1.75,2.89
h_0,12.76,12.13,10.81,13.44,11.85,10.41,8.49,4.55,3.36,3.79,2.96,3.27,4.69,2.71,3.2,2.88
a_0,15.32,12.54,14.11,15.03,14.72,14.24,5.33,4.47,3.72,4.78,1.95,3.88,3.16,1.63,2.89,3.07
g_0,15.96,12.82,13.2,13.47,13.72,11.58,4.44,8.01,4.22,4.2,3.69,3.65,2.31,3.04,4.63,3.02
e_0,14.93,13.08,27.2,12.36,11.18,15.35,5.46,5.87,3.92,3.32,3.61,2.27,3.25,4.6,2.83,1.66
