,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.44,0.07,0.07,0.07,0.07,0.08,0.29,0.39,0.2,0.8,0.32,0.29,0.6,0.32,,0.61
f_1,0.16,5.74,0.09,0.08,0.06,0.09,0.26,0.44,0.15,0.34,0.35,,0.54,0.38,0.32,0.45
d_1,0.06,0.07,6.05,0.1,0.07,0.08,0.33,0.68,0.26,,0.32,0.35,0.59,0.39,0.39,0.45
c_1,0.09,0.07,0.08,7.14,0.15,0.07,0.29,,0.37,0.24,0.31,0.49,0.53,0.27,0.32,0.65
b_1,0.06,0.07,0.09,0.08,8.28,0.13,0.39,0.26,0.23,0.39,,0.48,0.72,0.27,0.37,0.49
a_1,0.09,0.06,0.08,0.08,0.07,10.1,0.29,0.4,0.32,0.24,0.35,0.42,0.5,,,0.51
h_1,0.23,0.46,0.28,0.27,0.25,0.25,14.35,1.44,1.65,1.65,1.37,1.5,,1.27,1.25,1.94
c_0,0.39,0.29,0.26,,0.35,0.35,1.8,11.61,1.4,1.17,3.56,2.16,3.05,2.15,2.02,3.25
g_1,0.22,0.25,0.35,0.29,0.38,0.34,1.09,1.4,18.18,1.3,1.74,1.83,1.74,,1.3,
d_0,0.33,0.44,,0.68,0.37,0.34,1.11,1.97,1.41,12.27,2.58,1.61,3.31,1.38,1.43,3.53
b_0,0.31,0.36,0.37,0.3,,0.33,1.52,2.09,1.8,1.97,13.07,1.86,2.35,3.95,1.72,3.11
f_0,0.31,,0.35,0.42,0.41,0.46,1.34,1.79,1.77,2.55,1.5,14.49,2.96,1.4,3.43,2.81
h_0,0.73,0.92,0.59,0.54,0.59,0.35,,1.72,2.57,2.89,2.89,3.25,,1.78,2.38,5.63
a_0,0.39,0.34,0.47,0.29,0.33,,1.53,1.83,,2.33,1.56,1.4,3.81,19.38,1.99,2.26
e_0,,0.39,0.3,0.34,0.34,,2.13,2.02,1.58,1.52,1.62,1.77,3.5,1.85,21.66,3.16
g_0,0.41,0.54,0.94,0.56,0.44,0.44,1.56,2.69,,3.03,2.68,3.4,5.04,3.62,2.99,
