,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.0,1.06,1.02,0.94,0.9,0.89,0.96,0.74,1.4,1.24,1.12,0.88,1.14,0.97,1.12,0.95
f_1,0.94,1.0,1.31,1.13,0.98,1.0,0.84,1.07,0.81,0.88,0.92,0.87,0.83,0.95,0.68,0.98
e_1,0.98,0.76,1.0,1.15,0.98,0.94,1.22,0.94,1.05,1.46,1.3,1.02,0.99,0.82,1.07,0.9
c_1,1.06,0.89,0.87,1.0,1.36,0.88,1.22,0.99,0.79,0.67,1.02,1.08,1.03,1.2,1.09,0.94
b_1,1.11,1.02,1.02,0.73,1.0,1.37,0.98,1.1,0.92,1.15,0.81,0.96,0.82,1.06,1.14,1.14
a_1,1.12,1.0,1.07,1.14,0.73,1.0,1.05,1.19,1.25,0.88,0.89,1.01,1.15,1.11,0.92,0.99
h_1,1.03,1.24,0.86,0.83,1.03,0.92,1.0,1.39,0.91,1.0,0.97,1.05,1.12,1.12,0.97,1.1
g_1,1.29,0.93,1.06,0.97,0.94,0.83,0.71,1.0,0.82,0.88,1.0,1.17,0.9,0.74,1.07,1.0
c_0,0.69,1.31,0.94,1.25,1.1,0.91,1.14,1.19,1.0,1.13,1.39,1.01,1.17,0.97,1.05,1.06
d_0,0.89,1.15,0.65,1.54,0.78,1.21,1.01,1.08,0.85,1.0,0.88,1.08,0.85,0.97,1.06,1.05
b_0,0.88,1.07,0.8,1.01,1.08,1.17,1.03,1.02,0.74,1.14,1.0,1.17,1.52,1.2,1.13,1.1
f_0,1.1,1.12,0.92,0.99,1.05,0.98,0.92,0.87,0.94,0.96,0.87,1.0,0.94,1.12,1.28,0.92
a_0,0.87,1.2,0.98,1.04,1.26,,0.9,1.03,0.86,1.12,0.67,1.08,1.0,1.14,0.8,1.02
h_0,1.05,1.08,1.12,0.83,0.96,0.81,0.96,1.36,1.01,1.04,0.87,0.94,0.89,1.0,0.88,1.09
e_0,0.91,1.48,0.96,0.95,0.85,1.02,1.08,0.91,1.0,0.96,0.88,0.77,1.27,1.03,1.0,1.1
g_0,1.08,1.09,1.0,1.09,0.87,1.04,0.88,1.0,0.95,0.91,0.84,1.05,0.98,0.91,0.86,1.0
