,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.24,0.93,0.89,0.96,0.93,0.89,1.04,1.03,0.88,0.93,0.98,0.89,0.84,1.03,0.99
e_1,0.8,1.0,1.2,0.97,0.98,1.0,1.02,1.06,1.35,0.98,1.17,1.04,1.04,1.2,1.09,1.09
c_1,1.08,0.82,1.0,1.13,1.32,0.79,1.04,1.04,0.73,0.82,0.92,0.86,1.03,1.0,0.93,1.13
d_1,1.11,1.03,0.89,1.0,1.01,0.89,1.01,0.78,1.15,1.31,0.97,0.91,1.02,0.99,0.87,0.92
b_1,1.03,1.04,0.76,0.98,1.0,1.64,1.13,0.97,0.93,1.19,0.94,1.08,0.97,0.99,0.99,0.95
a_1,1.07,1.0,1.29,1.13,0.62,1.0,1.05,1.12,0.97,0.88,1.07,1.39,1.15,1.14,1.0,0.99
h_1,1.14,0.99,0.95,1.0,0.89,0.91,1.0,1.2,0.97,0.99,1.02,0.94,1.01,1.03,0.87,1.23
g_1,0.98,0.93,0.97,1.28,1.01,0.82,0.83,1.0,0.86,0.97,1.27,0.94,0.76,0.84,0.98,0.9
d_0,0.96,0.74,1.38,0.82,1.16,0.95,1.01,1.12,1.0,0.8,1.0,0.94,1.03,0.97,1.05,1.03
c_0,1.09,1.02,1.22,0.75,0.84,1.12,1.0,1.05,1.14,1.0,0.96,1.42,1.09,1.01,1.1,1.05
f_0,1.02,0.85,1.15,1.03,1.09,0.92,0.98,0.78,1.0,1.02,1.0,1.12,1.07,1.26,1.06,0.77
b_0,1.01,1.02,1.2,1.01,0.88,0.76,1.13,1.1,0.98,0.71,0.91,1.0,1.15,0.89,1.5,0.98
h_0,1.16,0.96,1.0,0.98,1.0,0.91,1.03,1.32,0.93,0.88,0.94,0.88,1.0,0.95,0.93,1.04
e_0,1.22,0.94,0.94,1.0,1.01,0.96,0.92,1.11,1.01,0.96,0.75,1.2,1.06,1.0,1.07,0.86
a_0,0.96,0.93,1.08,1.2,1.01,1.0,1.17,1.03,0.93,0.94,0.96,0.66,1.07,0.87,1.0,1.02
g_0,0.94,0.9,0.9,1.08,1.05,1.06,0.82,1.13,1.01,0.96,1.27,1.05,0.91,1.07,0.96,1.0
