,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.31,0.89,0.74,1.02,0.75,0.58,1.54,1.54,1.48,3.0,1.78,1.75,1.59,2.04,1.06,1.6
f_1,1.38,2.33,0.81,0.79,0.72,0.58,1.4,1.34,1.45,1.63,1.69,0.98,1.39,1.85,0.78,1.63
d_1,0.84,0.92,2.38,0.59,0.82,0.59,1.64,1.53,3.11,1.08,1.85,1.69,1.52,2.12,1.48,2.11
c_1,0.85,0.83,0.9,2.56,1.3,0.66,1.4,1.24,0.77,1.61,1.38,1.48,1.38,1.73,1.26,1.86
b_1,0.8,0.85,0.83,0.76,2.67,1.33,1.61,1.39,1.56,1.55,0.84,1.63,0.95,2.18,1.31,1.69
a_1,0.88,0.9,0.84,0.88,0.72,3.15,1.75,1.61,1.8,1.65,1.55,1.61,1.1,2.34,1.34,1.9
h_1,0.86,1.38,1.07,0.85,0.6,0.63,3.2,2.11,1.93,1.5,1.79,1.82,1.71,1.71,1.53,2.67
g_1,0.88,0.9,1.34,0.93,0.71,0.59,1.66,3.35,1.99,1.83,1.82,2.54,1.55,2.51,1.76,1.62
c_0,0.97,1.07,1.08,0.7,0.75,0.55,1.92,1.77,3.14,1.67,3.42,2.11,2.04,2.56,1.82,2.3
d_0,0.92,0.97,0.62,1.79,0.84,0.54,1.6,1.6,1.18,3.01,1.73,1.82,1.6,2.49,1.53,2.07
b_0,0.9,1.09,1.12,0.9,0.54,0.47,2.14,1.78,1.76,1.67,3.19,1.95,3.7,2.7,1.73,2.39
f_0,0.78,1.01,0.99,0.93,0.79,0.65,1.96,1.58,2.04,1.95,2.38,3.22,2.11,2.65,3.63,2.69
a_0,0.91,0.99,1.04,0.94,0.81,0.52,2.14,1.6,2.18,1.6,2.1,2.2,3.25,2.98,1.78,1.94
h_0,0.8,1.3,1.08,0.93,0.89,0.6,1.38,2.09,1.87,1.78,1.68,1.55,1.84,1.57,1.62,2.49
e_0,0.67,1.28,0.94,0.81,0.92,0.84,2.09,1.52,1.87,1.59,2.08,1.6,1.88,2.98,3.73,2.45
g_0,0.69,0.95,1.37,0.82,0.86,0.62,1.79,1.26,1.94,1.33,2.14,2.88,2.1,2.4,1.76,1.78
