,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.7,0.76,1.24,0.79,0.73,0.73,0.82,0.87,0.89,1.03,0.93,0.66,0.94,0.88,0.69,0.79
d_1,0.88,1.86,0.77,0.69,0.77,0.73,1.04,0.98,1.65,0.61,1.3,1.05,0.94,1.07,1.08,1.01
e_1,0.88,0.69,1.82,0.97,0.79,0.72,1.01,0.95,0.88,1.63,0.98,0.94,0.99,1.04,0.79,1.02
c_1,0.75,0.79,0.76,2.0,1.34,0.83,0.88,0.87,0.63,0.95,0.75,1.02,0.97,0.96,1.01,0.99
b_1,0.79,0.93,0.74,0.83,2.13,1.45,0.94,0.88,0.88,0.93,0.67,0.97,1.01,0.76,0.99,0.98
a_1,0.93,0.97,0.77,0.86,0.77,2.87,0.95,1.05,0.9,0.79,1.04,0.99,1.16,0.67,1.08,1.01
h_1,1.09,0.98,0.78,0.9,0.77,0.65,1.79,1.34,0.98,0.9,0.91,1.11,0.88,0.94,1.06,1.29
g_1,0.81,1.3,0.77,0.9,0.84,0.67,1.11,2.02,0.99,0.81,1.04,1.46,1.0,1.25,1.16,0.96
c_0,1.0,0.95,0.89,0.7,0.66,0.89,1.22,1.07,1.53,0.92,1.83,1.03,1.14,1.35,1.13,1.13
d_0,0.89,0.64,0.82,1.5,0.94,0.72,0.96,1.01,0.58,1.51,0.85,1.12,0.98,1.09,1.06,0.95
b_0,0.94,0.89,0.92,0.89,0.7,0.76,1.11,1.16,1.11,1.07,1.58,1.17,1.09,2.05,1.1,1.16
f_0,0.76,0.99,0.74,1.0,0.84,0.78,1.22,1.11,1.06,0.85,1.1,1.86,1.21,1.07,1.99,1.26
h_0,1.11,0.94,0.89,0.88,0.85,0.78,0.85,1.31,0.88,0.92,1.02,0.98,0.86,1.08,1.05,1.34
a_0,0.95,0.9,0.86,0.85,0.8,0.67,1.18,1.08,1.07,0.94,1.04,1.11,1.26,1.96,1.16,1.2
e_0,0.91,0.92,0.6,0.97,0.87,0.86,1.15,1.06,1.07,0.96,1.02,1.12,1.05,0.98,2.16,1.17
g_0,0.89,1.28,0.65,0.75,0.88,0.8,1.05,0.86,1.12,0.68,1.07,1.56,0.99,1.1,1.29,0.86
