,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,6.35,2.93,2.7,2.35,2.85,2.74,10.52,11.12,21.83,17.58,10.61,14.31,21.49,15.14,14.64,22.25
f_1,2.66,6.41,4.65,2.74,2.63,2.81,10.53,8.88,10.22,12.16,14.43,9.21,17.12,13.15,9.78,17.39
e_1,2.25,2.96,6.39,3.71,2.94,2.74,10.16,10.14,11.51,12.06,23.41,13.22,20.41,12.77,10.87,18.76
c_1,2.86,2.71,2.45,7.01,5.19,3.0,10.36,9.72,8.82,9.72,12.29,14.77,17.58,13.28,13.26,19.97
b_1,2.95,2.85,2.75,2.86,7.82,5.35,9.79,9.05,11.65,9.89,10.07,13.15,19.85,11.92,14.1,21.62
a_1,2.87,3.15,2.85,3.01,2.55,10.11,11.17,10.88,12.99,15.58,13.93,12.58,22.32,12.7,14.86,21.06
h_1,3.36,3.92,2.84,2.93,2.85,3.05,18.72,13.36,11.92,13.85,11.13,14.27,16.74,15.1,13.85,28.96
g_1,4.32,2.85,2.46,2.8,2.87,2.73,10.3,21.55,15.7,14.56,11.41,22.67,23.63,14.05,18.19,18.13
c_0,3.26,3.15,2.91,2.85,2.32,2.93,11.43,12.1,19.76,25.71,15.94,16.71,25.57,21.08,16.81,25.93
b_0,3.11,3.35,3.06,3.35,2.51,2.44,12.8,12.07,12.99,21.73,16.02,16.96,23.05,26.55,17.59,22.86
d_0,1.94,2.89,2.79,5.4,3.75,2.55,11.75,10.92,9.8,12.74,21.31,16.37,19.54,14.6,16.16,20.79
f_0,3.41,2.7,2.2,3.49,3.32,3.22,11.37,12.47,14.44,17.62,14.26,25.08,25.21,14.81,31.27,25.87
h_0,3.57,3.43,2.71,3.23,3.03,2.65,9.33,15.13,13.55,15.17,13.76,16.91,17.49,14.65,19.01,28.56
a_0,3.49,3.05,2.9,3.42,3.25,2.25,12.0,11.16,13.22,15.16,14.69,17.17,25.64,28.17,14.43,27.26
e_0,3.75,3.2,2.16,3.68,3.25,2.69,12.14,12.73,13.93,17.59,12.31,14.56,26.1,18.78,30.59,29.41
g_0,4.32,2.61,2.62,3.22,3.1,2.84,12.38,9.46,13.22,14.46,11.5,21.32,20.36,13.71,16.28,18.16
