,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,0.88,1.1,0.87,0.68,0.48,0.56,0.4,0.45,0.4,0.46,0.36,0.31,0.31,0.31
f_1,1.25,1.0,0.88,0.98,0.79,0.63,0.44,0.44,0.4,0.45,0.42,0.37,0.29,0.31,0.25,0.35
d_1,1.11,1.13,1.0,0.83,0.89,0.79,0.5,0.44,0.56,0.37,0.45,0.4,0.35,0.34,0.32,0.27
c_1,0.93,1.03,1.24,1.0,1.28,0.85,0.53,0.37,0.45,0.47,0.38,0.4,0.36,0.3,0.35,0.34
b_1,1.16,1.27,1.13,0.8,1.0,1.23,0.58,0.5,0.55,0.6,0.5,0.51,0.39,0.35,0.39,0.36
a_1,1.43,1.58,1.23,1.2,0.82,1.0,0.77,0.64,0.56,0.52,0.6,0.5,0.51,0.5,0.46,0.48
h_1,2.12,2.22,2.01,1.92,1.62,1.22,1.0,0.87,0.87,0.99,0.85,0.8,0.69,0.68,0.59,0.71
d_0,1.86,2.15,2.18,2.66,2.12,1.6,1.12,1.0,0.85,1.04,0.89,0.92,0.83,0.73,0.75,0.83
c_0,2.61,2.59,1.79,2.24,1.81,1.73,1.18,1.09,1.0,0.98,1.18,0.9,0.76,0.88,0.75,0.73
g_1,2.15,2.24,2.68,2.08,1.77,1.89,1.04,0.95,1.0,1.0,0.96,1.06,0.69,0.66,0.84,0.71
b_0,2.41,2.46,2.16,2.52,2.0,1.65,1.25,1.07,0.85,1.07,1.0,0.92,0.84,1.1,0.73,0.75
f_0,2.21,2.69,2.45,2.55,1.99,1.94,1.22,1.08,1.08,0.93,1.06,1.0,0.86,0.79,1.04,0.62
h_0,2.83,3.36,2.8,2.76,2.6,2.07,1.54,1.17,1.29,1.45,1.19,1.12,1.0,0.92,0.94,1.01
a_0,3.1,3.15,2.98,3.17,2.83,1.85,1.47,1.32,1.13,1.5,0.93,1.27,1.17,1.0,0.89,0.92
e_0,3.34,3.92,3.08,2.75,2.43,2.23,1.82,1.36,1.37,1.22,1.46,1.0,1.08,1.09,1.0,0.89
g_0,3.23,2.92,3.61,2.87,2.76,2.06,1.43,1.26,1.36,1.34,1.35,1.54,0.95,1.08,1.15,1.0
