,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.5,2.38,1.46,1.64,1.63,1.59,3.0,3.32,3.97,3.23,3.8,2.78,3.37,3.99,2.66,4.04
e_1,1.53,2.52,1.57,2.05,1.74,1.52,3.24,3.33,5.29,3.39,3.63,3.79,3.75,4.5,3.39,4.7
d_1,1.89,1.63,2.65,1.36,1.56,1.54,3.4,5.08,2.83,2.95,4.13,3.77,4.18,4.76,4.1,4.62
c_1,1.64,1.42,1.68,2.66,2.6,1.71,2.95,2.94,2.96,2.99,2.65,3.69,3.59,4.54,3.75,4.04
b_1,1.68,1.55,1.72,1.53,2.74,2.72,3.16,3.35,3.12,3.28,3.14,3.64,3.24,4.89,3.99,4.86
a_1,1.91,1.7,1.8,1.7,1.4,3.18,3.62,3.69,3.57,3.44,4.05,3.79,3.77,4.83,4.03,4.82
h_1,2.15,1.76,1.74,1.7,1.54,1.6,4.36,3.5,3.7,3.83,3.89,3.75,4.05,4.37,3.85,5.42
c_0,1.87,1.77,1.74,1.64,1.48,1.66,3.56,4.44,3.73,3.59,5.46,3.7,5.03,4.72,4.11,5.12
d_0,1.65,1.53,1.56,2.74,1.89,1.58,3.19,2.95,4.42,3.5,3.45,3.78,4.01,4.62,3.69,4.89
g_1,1.69,1.45,2.36,1.77,1.71,1.7,3.23,3.82,3.21,4.73,3.59,5.17,3.87,4.3,4.1,4.76
b_0,1.76,1.81,1.78,2.02,1.46,1.55,3.39,3.46,4.09,3.61,4.59,3.86,6.03,4.74,3.68,4.85
f_0,1.84,1.46,1.8,1.87,1.87,1.76,3.4,3.64,3.67,2.96,3.46,4.94,3.88,4.79,6.95,4.73
a_0,1.94,1.69,1.82,1.7,1.63,1.51,3.48,3.64,3.76,3.18,3.65,3.73,5.26,5.19,3.99,5.35
h_0,2.06,1.72,1.87,1.8,1.62,1.74,2.62,3.63,3.7,3.9,3.88,3.57,3.71,4.08,3.97,5.46
e_0,2.08,1.39,1.68,1.79,1.84,1.89,3.42,3.64,3.66,3.68,4.04,3.21,3.98,5.25,5.53,4.84
g_0,1.76,1.55,2.31,1.77,1.57,1.65,3.3,3.8,3.42,2.83,3.56,4.39,3.72,4.4,4.58,4.3
