,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.2,0.87,1.06,1.08,0.84,0.85,0.93,1.09,0.83,1.03,0.8,0.84,0.82,0.79,1.07
e_1,0.84,1.0,0.93,1.15,0.88,1.08,1.16,1.39,1.1,1.1,0.89,1.17,1.09,1.09,1.42,1.15
d_1,1.14,1.06,1.0,0.84,0.92,0.94,0.98,1.07,0.82,1.32,1.04,0.9,1.12,1.06,1.11,0.78
c_1,0.94,0.87,1.2,1.0,1.36,0.88,1.04,0.74,0.95,0.8,0.92,1.03,1.11,0.94,0.96,0.97
b_1,0.93,1.13,1.1,0.74,1.0,1.53,1.1,1.0,0.96,0.96,1.08,0.83,0.89,0.78,0.72,0.93
a_1,1.19,0.92,1.06,1.15,0.65,1.0,1.09,1.01,1.01,1.06,1.24,1.26,1.03,1.38,1.25,1.24
h_1,1.15,0.86,1.02,0.97,0.9,0.86,1.0,0.97,1.38,0.93,0.97,0.98,1.04,0.93,1.05,1.1
d_0,1.01,0.72,1.01,1.39,1.03,1.02,1.04,1.0,0.93,0.93,0.91,1.07,1.0,0.96,1.02,1.15
g_1,0.94,0.92,1.24,1.04,1.0,0.92,0.73,1.03,1.0,0.78,1.01,1.26,0.88,1.1,0.93,0.93
c_0,1.11,0.9,0.75,1.22,1.04,0.94,1.11,1.13,1.32,1.0,1.39,1.06,1.08,1.18,0.99,1.07
b_0,1.01,1.07,0.97,1.11,1.1,0.76,1.07,1.04,1.01,0.72,1.0,1.08,0.91,1.5,1.03,0.9
f_0,1.11,0.89,1.12,1.0,1.22,0.81,1.03,0.94,0.78,0.96,0.95,1.0,1.05,0.94,1.32,0.82
h_0,1.19,0.94,0.86,0.94,1.1,1.0,0.96,0.98,1.15,0.94,1.01,0.89,1.0,1.07,0.97,1.16
a_0,1.26,0.88,0.94,1.05,1.22,0.68,1.08,1.05,0.95,0.87,0.7,0.99,0.95,1.0,1.09,0.93
e_0,1.26,0.83,0.95,1.07,1.26,0.87,0.99,0.99,1.07,0.97,0.96,0.72,0.96,0.93,1.0,1.36
g_0,0.92,0.86,1.32,1.07,1.02,0.86,0.89,0.9,1.13,0.93,1.0,1.25,0.89,1.06,0.83,1.0
