,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.68,3.26,6.34,4.55,5.37,3.76,2.75,3.09,3.09,2.35,2.14,2.15,1.88,1.82,,1.58
f_1,7.25,0.66,6.06,7.21,4.84,6.47,2.27,2.11,2.15,1.97,,1.99,1.89,1.08,1.6,1.96
d_1,5.44,6.47,0.66,5.75,5.78,6.6,3.32,2.24,2.13,,1.71,1.92,1.84,1.49,2.54,1.06
c_1,7.75,5.2,7.11,0.64,8.0,6.43,2.96,1.91,,1.38,2.41,2.17,2.09,1.78,2.02,1.59
b_1,6.68,6.46,5.92,3.83,0.63,6.67,3.31,2.45,2.75,2.21,2.91,,2.63,1.76,1.62,2.02
a_1,7.92,8.15,5.38,7.07,5.16,0.57,3.07,3.06,2.58,,2.61,2.47,,2.02,,1.87
h_1,4.67,4.89,4.42,4.03,4.16,4.41,0.62,3.12,1.75,1.88,1.98,1.69,1.59,,1.55,2.03
g_1,4.15,6.48,5.07,6.02,6.04,5.6,1.87,0.59,1.75,1.83,2.18,1.89,1.96,1.15,,
c_0,3.89,5.02,3.37,,4.79,4.5,2.29,2.23,0.71,1.66,1.43,2.35,2.11,1.33,1.95,1.37
d_0,3.6,4.58,,6.29,4.83,,1.93,3.15,1.74,0.69,1.46,1.58,1.85,1.53,1.47,1.56
f_0,5.64,,5.88,5.0,4.22,5.3,2.4,1.69,1.99,2.38,0.67,1.4,1.47,1.58,2.13,1.18
b_0,6.39,6.08,6.27,5.31,,6.26,2.02,2.0,1.06,2.01,2.21,0.68,2.39,1.45,1.23,1.53
a_0,8.06,6.2,6.6,5.56,6.7,,2.2,2.07,1.99,2.02,2.62,1.31,0.61,2.01,,1.47
h_0,4.52,6.13,5.35,4.67,3.91,3.73,,2.15,1.85,1.32,1.82,1.99,1.42,,1.21,1.16
e_0,,8.98,4.36,6.01,8.01,,2.44,,2.04,2.43,1.17,2.82,,2.23,0.61,1.55
g_0,4.98,4.94,5.75,5.65,5.46,5.55,1.51,,1.61,1.92,1.73,1.77,2.16,1.48,1.65,
