,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.86,1.13,1.62,1.98,4.77,19.04,27.76,47.54,30.55,53.01,43.73,68.21,87.33,,82.98
f_1,1.16,1.0,1.32,1.45,1.81,3.25,16.59,28.36,28.48,33.43,,49.29,67.06,76.77,83.28,127.42
d_1,0.89,0.76,1.0,1.09,1.91,3.1,13.78,18.29,,38.33,33.25,36.4,70.02,50.21,79.49,63.09
c_1,0.62,0.69,0.91,1.0,1.63,2.27,8.95,20.09,13.81,,26.67,28.09,48.51,67.04,84.2,77.76
b_1,0.5,0.55,0.52,0.61,1.0,2.98,10.85,18.14,15.91,21.2,31.61,,48.07,43.68,49.01,65.43
a_1,0.21,0.31,0.32,0.44,0.34,1.0,3.95,,7.44,8.61,,10.58,,,,33.49
h_1,0.05,0.06,0.07,0.11,0.09,0.25,1.0,2.08,1.74,2.11,1.93,2.3,,3.57,4.83,6.57
g_1,0.04,0.04,0.05,0.05,0.06,,0.48,1.0,1.11,1.02,2.71,1.99,2.59,2.59,4.01,
d_0,0.02,0.04,,0.07,0.06,0.13,0.57,0.9,1.0,1.32,1.34,1.3,2.43,2.6,2.92,3.58
c_0,0.03,0.03,0.03,,0.05,0.12,0.47,0.98,0.76,1.0,1.37,2.02,2.48,3.03,2.25,3.81
f_0,0.02,,0.03,0.04,0.03,,0.52,0.37,0.75,0.73,1.0,1.37,1.73,2.06,3.93,3.15
b_0,0.02,0.02,0.03,0.04,,0.09,0.44,0.5,0.77,0.49,0.73,1.0,1.63,2.22,2.23,2.43
h_0,0.01,0.01,0.01,0.02,0.02,,,0.39,0.41,0.4,0.58,0.61,,0.83,0.98,1.58
a_0,0.01,0.01,0.02,0.01,0.02,,0.28,0.39,0.38,0.33,0.49,0.45,1.2,1.0,1.22,1.1
e_0,,0.01,0.01,0.01,0.02,,0.21,0.25,0.34,0.44,0.25,0.45,1.02,0.82,1.0,1.27
g_0,0.01,0.01,0.02,0.01,0.02,0.03,0.15,,0.28,0.26,0.32,0.41,0.63,0.91,0.79,
