,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.93,0.14,0.09,0.11,0.08,0.06,0.07,0.08,0.07,0.06,0.05,,0.06,0.05,0.05,0.04
e_1,0.11,0.93,0.08,0.09,0.08,0.06,0.06,0.13,0.05,0.06,0.06,0.05,0.06,0.03,0.06,
d_1,0.13,0.12,0.93,0.08,0.09,0.06,0.08,,0.04,0.12,0.07,0.04,0.05,0.06,0.05,0.04
c_1,0.1,0.12,0.12,0.93,0.15,0.06,0.06,0.05,0.07,,0.05,0.08,0.06,0.05,0.05,0.04
b_1,0.12,0.13,0.1,0.1,0.93,0.14,0.08,0.09,0.06,0.07,,0.05,0.05,0.03,0.05,0.04
a_1,0.13,0.13,0.14,0.12,0.06,0.93,,0.09,,0.06,0.08,0.07,0.09,,0.05,
h_1,0.43,0.33,0.28,0.31,0.24,,0.71,0.17,0.21,0.14,0.17,0.15,,0.11,0.16,0.14
d_0,0.33,0.23,,0.61,0.3,0.26,0.28,0.58,0.21,0.2,0.2,0.24,0.16,0.11,0.19,0.18
g_1,0.25,0.37,0.48,0.2,0.27,,0.18,0.14,0.71,0.2,0.19,0.28,0.19,0.13,,0.11
c_0,0.37,0.37,0.27,,0.28,0.33,0.23,0.23,0.23,0.59,0.31,0.22,0.21,0.15,0.19,0.11
b_0,0.44,0.46,0.45,0.35,,0.19,0.25,0.22,0.18,0.21,0.56,0.16,0.22,0.28,0.12,0.14
f_0,,0.33,0.4,0.37,0.33,0.25,0.32,0.19,0.17,0.25,0.3,0.58,0.22,0.16,0.13,0.24
h_0,0.61,0.51,0.63,0.38,0.52,0.25,,0.35,0.28,0.26,0.28,0.24,,0.19,0.27,0.2
a_0,0.48,0.48,0.3,0.34,0.43,,0.28,0.32,0.22,0.25,0.2,0.23,0.24,0.57,0.24,
g_0,0.54,0.38,0.69,0.57,0.44,0.39,0.35,0.24,,0.26,0.38,0.39,0.31,0.16,,
e_0,0.35,,0.36,0.47,0.5,,0.25,0.25,0.23,0.3,0.31,0.21,0.26,,,0.57
