,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,36.31,0.06,0.08,0.06,0.07,0.08,0.34,0.66,0.31,0.16,0.33,0.5,0.34,0.53,,0.54
f_1,0.12,37.66,0.06,0.06,0.06,0.08,0.27,0.43,0.43,0.18,0.31,,0.38,0.56,0.45,0.71
c_1,0.06,0.07,40.77,0.08,0.13,0.07,0.24,0.37,,0.25,0.27,0.42,0.37,0.62,0.49,0.53
d_1,0.06,0.06,0.05,41.32,0.07,0.06,0.38,,0.54,0.31,0.42,0.43,0.42,0.78,0.47,0.49
b_1,0.07,0.07,0.09,0.08,44.61,0.1,0.29,0.35,0.36,0.3,,0.29,0.31,0.69,0.25,0.68
a_1,0.07,0.06,0.08,0.04,0.04,74.73,0.41,0.48,0.29,0.28,0.37,0.27,,0.69,0.44,0.87
h_1,0.18,0.37,0.22,0.25,0.29,0.32,28.48,1.54,1.7,1.93,1.33,1.22,1.32,,1.56,2.37
d_0,0.4,0.42,0.62,,0.39,0.43,1.32,18.38,2.11,1.07,1.62,1.85,1.63,2.76,2.14,2.11
c_0,0.4,0.32,,0.43,0.29,0.34,1.36,1.47,17.91,1.96,4.81,2.04,2.39,3.05,1.67,2.21
g_1,0.24,0.2,0.28,0.42,0.23,0.25,1.07,1.07,1.37,38.34,1.64,2.22,1.57,2.34,1.27,
b_0,0.4,0.37,0.32,0.38,,0.36,1.45,1.36,2.26,1.72,22.99,1.7,4.09,2.68,,3.52
f_0,0.29,,0.35,0.29,0.35,0.33,1.41,2.08,1.89,1.41,2.36,25.03,2.26,4.13,3.42,2.63
a_0,0.35,0.36,0.4,0.33,0.26,,1.56,2.77,3.26,1.48,1.46,1.29,27.71,3.1,1.94,2.2
h_0,0.41,0.74,0.61,0.5,0.58,0.49,,2.93,3.01,3.49,2.96,2.71,,,4.07,7.84
e_0,,0.4,0.29,0.52,0.33,,2.25,2.63,2.52,,1.87,1.53,,3.12,33.69,2.38
g_0,0.46,0.58,0.45,0.9,0.58,0.44,2.33,2.03,3.27,,2.83,5.48,3.57,3.85,,
