,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.01,0.05,0.08,0.1,0.12,0.14,0.21,0.26,0.24,0.2,0.33,0.25,0.29,0.34,0.5,
f_1,0.09,0.01,0.09,0.09,0.09,0.14,0.13,0.21,0.18,0.28,0.23,,0.18,0.33,0.42,0.39
d_1,0.06,0.07,0.01,0.06,0.08,0.16,0.13,0.11,,0.2,0.23,0.18,0.21,0.13,0.3,0.39
c_1,0.05,0.06,0.07,0.01,0.07,0.1,0.15,0.15,0.1,,0.13,0.15,0.2,0.23,0.22,0.23
b_1,0.04,0.04,0.05,0.04,0.01,0.08,0.08,0.14,0.08,0.16,,0.14,0.13,0.15,0.22,0.21
a_1,0.01,0.01,0.01,0.01,0.01,,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.04,,
h_1,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
