,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.71,0.62,0.53,0.85,0.62,0.55,0.78,0.86,1.72,0.95,1.01,1.03,0.98,0.91,0.43,0.95
f_1,1.06,2.82,0.66,0.57,0.51,0.52,0.82,0.78,0.79,0.85,0.88,0.38,0.99,0.88,0.69,0.93
d_1,0.63,0.63,3.1,0.46,0.61,0.59,0.82,0.91,0.34,1.76,1.3,0.91,1.05,1.1,1.07,0.84
c_1,0.5,0.58,0.55,3.25,1.16,0.57,0.97,0.79,0.92,0.3,0.78,0.91,0.89,1.0,0.92,0.95
b_1,0.52,0.72,0.61,0.66,3.38,1.04,1.08,0.86,0.77,0.72,0.3,1.01,0.85,0.55,1.17,0.84
a_1,0.65,0.68,0.61,0.6,0.48,4.9,0.98,0.9,0.96,0.9,0.93,1.12,1.07,0.59,0.89,1.14
h_1,0.66,1.07,0.86,0.63,0.73,0.63,3.05,1.51,0.98,0.93,0.91,0.99,0.54,0.99,1.11,1.78
g_1,0.56,0.64,1.3,0.68,0.74,0.58,0.97,3.61,1.05,1.13,1.03,1.85,1.03,1.04,1.03,0.69
d_0,0.71,0.76,0.32,1.45,0.77,0.91,0.91,0.99,2.26,0.83,1.18,1.14,1.26,0.98,1.16,0.89
c_0,0.74,0.9,0.88,0.47,0.49,0.77,1.12,1.2,1.06,2.42,2.24,1.11,1.38,1.53,1.29,1.14
b_0,0.87,0.78,0.79,0.75,0.34,0.61,1.06,1.06,1.23,1.4,2.72,1.31,1.28,2.51,1.31,1.28
f_0,0.68,0.4,0.87,0.77,0.75,0.82,1.3,1.15,1.25,1.03,1.11,2.53,1.25,1.18,2.75,1.32
h_0,0.77,1.09,0.83,0.76,0.67,0.62,0.63,1.47,1.1,1.15,1.08,1.15,0.82,1.17,0.99,1.71
a_0,0.9,0.89,0.9,0.67,0.66,0.33,1.16,1.16,0.87,1.26,1.3,1.19,1.21,3.58,1.23,1.23
e_0,0.37,0.79,0.93,0.71,0.72,0.75,1.25,1.37,1.15,1.04,1.33,1.41,1.41,1.11,3.64,1.64
g_0,0.7,0.69,1.23,0.79,0.71,0.62,1.09,0.77,0.98,1.2,0.98,1.83,1.06,1.21,1.69,0.76
