,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.89,0.42,0.16,0.17,0.18,0.11,0.2,0.21,0.2,0.16,0.21,0.08,0.12,0.15,0.07,0.12
e_1,0.24,0.89,0.17,0.23,0.17,0.13,0.2,0.2,0.39,0.17,0.21,0.18,0.14,0.2,0.06,0.14
d_1,0.26,0.19,0.9,0.15,0.18,0.12,0.2,0.42,0.08,0.15,0.24,0.19,0.19,0.2,0.14,0.18
c_1,0.2,0.2,0.18,0.89,0.37,0.11,0.18,0.09,0.2,0.14,0.13,0.2,0.12,0.14,0.12,0.11
b_1,0.23,0.2,0.22,0.19,0.89,0.27,0.15,0.18,0.2,0.16,0.09,0.15,0.09,0.19,0.13,0.17
a_1,0.27,0.16,0.23,0.22,0.16,0.88,0.22,0.21,0.2,0.17,0.2,0.16,0.06,0.22,0.14,0.17
h_1,0.39,0.27,0.25,0.24,0.19,0.13,0.57,0.25,0.25,0.23,0.26,0.2,0.18,0.14,0.14,0.25
c_0,0.28,0.27,0.32,0.17,0.17,0.16,0.26,0.47,0.21,0.22,0.45,0.19,0.22,0.23,0.15,0.21
d_0,0.26,0.26,0.15,0.49,0.22,0.15,0.24,0.17,0.45,0.19,0.21,0.21,0.16,0.22,0.14,0.18
g_1,0.22,0.2,0.39,0.26,0.2,0.15,0.25,0.24,0.21,0.57,0.24,0.34,0.17,0.23,0.15,0.14
b_0,0.29,0.29,0.28,0.25,0.11,0.15,0.27,0.28,0.25,0.22,0.46,0.23,0.34,0.23,0.15,0.2
f_0,0.19,0.21,0.26,0.29,0.24,0.17,0.29,0.24,0.23,0.19,0.19,0.46,0.16,0.24,0.36,0.22
a_0,0.34,0.29,0.33,0.24,0.19,0.11,0.28,0.27,0.28,0.19,0.24,0.17,0.39,0.27,0.15,0.19
h_0,0.34,0.27,0.28,0.24,0.18,0.18,0.12,0.26,0.26,0.25,0.27,0.19,0.15,0.14,0.17,0.24
e_0,0.32,0.14,0.22,0.28,0.26,0.18,0.28,0.29,0.24,0.23,0.29,0.2,0.17,0.29,0.42,0.24
g_0,0.23,0.25,0.43,0.25,0.17,0.17,0.23,0.27,0.21,0.12,0.24,0.31,0.15,0.19,0.18,0.13
