,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.38,0.77,0.7,0.7,0.69,0.22,0.2,0.14,0.14,0.14,0.17,0.14,0.1,0.21,0.13
f_1,0.64,0.17,0.62,0.71,0.58,0.61,0.13,0.26,0.15,0.14,0.14,0.27,0.12,0.07,0.12,0.09
d_1,0.73,0.71,0.15,0.64,0.65,0.67,0.17,0.11,0.26,0.13,0.14,0.12,0.13,0.09,0.13,0.05
c_1,0.5,0.7,0.82,0.15,0.7,0.68,0.2,0.17,0.08,0.22,0.14,0.13,0.13,0.09,0.11,0.09
b_1,0.72,0.8,0.7,0.35,0.13,0.63,0.22,0.21,0.14,0.18,0.31,0.19,0.11,0.11,0.15,0.12
a_1,0.68,0.76,0.7,0.75,0.34,0.09,0.23,0.26,0.15,0.15,0.18,0.1,0.37,0.11,0.13,0.14
h_1,0.53,0.55,0.48,0.51,0.53,0.49,0.06,0.15,0.11,0.11,0.11,0.12,0.09,0.13,0.09,0.08
g_1,0.55,0.69,0.47,0.57,0.5,0.46,0.1,0.05,0.13,0.11,0.12,0.11,0.12,0.08,0.1,0.1
d_0,0.28,0.56,0.81,0.62,0.62,0.65,0.17,0.15,0.06,0.11,0.12,0.09,0.1,0.08,0.12,0.09
c_0,0.55,0.54,0.26,1.16,0.78,0.53,0.17,0.17,0.17,0.06,0.11,0.1,0.1,0.09,0.11,0.07
b_0,0.48,0.53,0.39,0.72,0.97,0.48,0.15,0.15,0.12,0.05,0.05,0.1,0.1,0.08,0.1,0.08
f_0,0.54,1.05,0.45,0.57,0.5,0.51,0.15,0.09,0.12,0.09,0.1,0.04,0.08,0.09,0.09,0.04
a_0,0.46,0.59,0.54,0.54,0.81,0.69,0.14,0.14,0.1,0.08,0.06,0.09,0.05,0.08,0.11,0.09
h_0,0.48,0.62,0.5,0.56,0.47,0.42,0.25,0.14,0.11,0.09,0.1,0.09,0.09,0.12,0.1,0.08
e_0,0.92,0.71,0.45,0.49,0.56,0.43,0.14,0.14,0.11,0.1,0.11,0.04,0.08,0.06,0.04,0.06
g_0,0.63,0.58,0.42,0.59,0.5,0.43,0.1,0.25,0.12,0.1,0.12,0.09,0.08,0.05,0.08,0.11
