,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.64,0.84,0.91,1.12,0.92,0.94,1.27,1.42,0.95,0.97,0.93,1.02,1.1,,1.02
f_1,1.55,1.0,1.11,1.1,1.11,1.0,0.82,0.98,0.87,0.9,,1.18,0.79,0.87,0.77,0.91
c_1,1.2,0.9,1.0,1.09,1.13,0.94,1.11,1.04,0.73,,1.15,0.94,1.2,1.06,0.86,0.91
d_1,1.1,0.91,0.92,1.0,0.97,1.07,1.1,0.87,,1.07,1.38,0.98,1.11,0.91,1.11,0.77
b_1,0.89,0.9,0.88,1.03,1.0,1.26,1.14,1.02,0.95,1.12,1.15,,,1.06,0.82,1.27
a_1,1.08,1.0,1.07,0.94,0.8,1.0,1.15,,1.03,1.26,0.76,0.96,,1.06,,
h_1,1.07,1.22,0.9,0.91,0.88,0.87,1.0,1.24,1.13,1.18,0.74,0.86,0.95,,1.02,0.98
g_1,0.79,1.02,0.96,1.15,0.98,,0.81,1.0,1.05,1.12,1.22,0.88,1.11,0.91,1.06,
d_0,0.7,1.15,1.37,,1.05,0.97,0.89,0.95,1.0,1.09,0.82,1.12,1.03,1.03,1.06,1.19
c_0,1.05,1.11,,0.93,0.89,0.79,0.85,0.89,0.92,1.0,1.08,1.53,0.82,1.04,0.91,1.32
f_0,1.03,,0.87,0.73,0.87,1.31,1.35,0.82,1.22,0.92,1.0,0.98,1.07,1.32,1.28,0.78
b_0,1.07,0.85,1.07,1.02,,1.04,1.17,1.14,0.89,0.65,1.02,1.0,1.48,0.93,1.19,0.98
a_0,0.98,1.26,0.83,0.9,,,1.06,0.9,0.97,1.22,0.93,0.68,1.0,0.96,,1.16
h_0,0.91,1.15,0.95,1.1,0.94,0.94,,1.1,0.97,0.97,0.76,1.08,1.04,,0.83,1.14
e_0,,1.29,1.16,0.9,1.22,,0.98,0.95,0.95,1.1,0.78,0.84,,1.21,1.0,1.0
g_0,0.98,1.1,1.1,1.3,0.79,,1.02,,0.84,0.76,1.28,1.02,0.86,0.88,1.0,
