,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.09,2.4,2.93,2.0,2.28,2.05,0.68,0.75,0.32,0.6,0.55,0.51,0.35,0.52,0.48,0.34
f_1,2.48,1.09,2.33,2.48,2.44,2.01,0.53,0.76,0.54,0.49,0.63,0.45,0.28,0.43,0.43,0.4
d_1,2.72,2.43,1.08,2.87,2.53,2.56,0.64,0.45,0.75,0.47,0.42,0.44,0.33,0.46,0.41,0.23
e_1,2.76,1.67,2.79,1.09,2.72,2.66,0.78,0.86,0.57,0.56,0.67,0.5,0.39,0.85,0.51,0.44
b_1,1.69,3.15,3.14,2.85,1.1,2.8,0.95,0.85,0.6,0.8,0.59,0.91,0.45,0.58,0.59,0.43
a_1,4.25,5.17,5.02,4.87,2.26,1.12,1.25,1.46,1.01,1.11,0.85,1.24,0.66,0.84,1.5,0.82
h_1,9.26,9.4,8.15,9.48,9.11,8.64,1.54,2.24,2.08,1.7,1.72,1.67,1.47,1.49,1.42,1.38
g_1,11.96,11.4,10.2,10.78,11.21,9.66,2.37,1.56,2.6,2.19,2.16,2.15,1.22,1.93,1.86,1.76
d_0,12.99,11.44,15.63,7.25,12.66,10.91,3.74,3.56,1.79,2.42,2.93,2.32,1.8,2.98,2.61,2.01
c_0,22.46,12.99,7.66,14.28,12.82,12.05,3.63,3.41,4.14,1.76,2.5,2.52,1.83,2.68,2.56,1.59
f_0,14.15,23.27,14.18,14.22,13.69,12.28,3.84,2.64,3.31,3.01,1.89,3.02,1.93,2.89,3.23,1.43
b_0,23.36,14.39,11.07,15.94,18.12,14.25,3.89,3.95,3.72,1.81,2.98,1.94,2.02,2.93,2.75,1.86
h_0,18.92,21.4,18.15,19.07,18.68,18.42,6.71,5.87,4.79,4.03,3.98,3.65,3.56,3.6,3.47,2.57
e_0,20.12,31.81,17.58,26.82,20.31,15.02,5.88,4.51,4.69,3.92,2.18,4.1,2.78,2.1,3.96,2.3
a_0,23.52,21.01,20.59,20.36,23.64,23.8,5.39,6.17,4.53,3.58,3.53,2.27,2.78,3.86,2.19,2.99
g_0,23.68,25.87,20.59,21.15,22.09,22.18,4.92,7.15,4.86,4.37,4.2,3.8,2.51,4.2,3.79,3.15
