,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,0.8,1.3,1.01,0.99,1.14,1.03,0.98,1.39,1.21,1.11,1.09,0.97,1.05,1.04
d_1,1.14,1.0,0.96,0.93,1.02,0.93,1.01,0.77,1.3,1.0,1.02,0.93,1.02,1.01,0.99,0.83
f_1,1.26,1.04,1.0,0.91,0.94,0.85,0.89,1.12,0.88,0.97,0.81,0.93,0.77,0.99,0.73,1.11
c_1,0.77,1.09,1.09,1.0,1.39,0.86,0.94,1.17,0.93,0.7,1.02,0.79,1.01,0.9,1.0,0.99
b_1,1.01,0.98,1.06,0.72,1.0,1.45,1.04,1.05,0.95,0.94,0.97,0.89,1.16,0.94,1.16,1.04
a_1,1.02,1.05,1.2,1.17,0.68,1.0,1.03,1.1,0.98,1.2,1.03,1.53,0.97,1.19,1.06,1.0
h_1,0.86,0.98,1.11,1.06,0.96,1.01,1.0,1.1,0.91,0.92,0.97,1.02,1.18,0.9,0.9,1.19
g_1,1.0,1.27,0.89,0.86,0.9,0.99,0.91,1.0,1.01,0.94,1.13,1.07,0.8,0.94,1.02,1.03
c_0,1.0,0.77,1.06,1.06,1.11,1.06,1.08,0.98,1.0,1.24,0.98,1.4,1.05,1.15,0.94,1.09
d_0,0.71,1.07,1.02,1.51,1.02,0.8,1.08,1.02,0.79,1.0,0.97,1.01,1.09,1.07,1.0,1.1
f_0,0.85,0.93,1.28,0.97,1.08,0.97,1.08,0.87,0.99,1.05,1.0,1.01,1.12,0.96,1.58,0.88
b_0,0.89,1.08,1.1,1.29,1.02,0.7,1.0,0.95,0.7,0.98,0.91,1.0,1.14,1.51,0.99,0.89
h_0,0.87,0.98,1.29,1.05,0.85,1.01,0.89,1.27,0.96,0.97,0.89,0.92,1.0,1.04,0.87,1.2
a_0,1.06,0.95,1.05,1.11,1.08,0.81,1.07,1.08,0.91,0.91,1.05,0.69,1.06,1.0,1.05,1.15
e_0,0.97,0.98,1.3,0.95,0.93,0.9,1.08,0.98,1.04,0.92,0.63,1.03,1.18,1.0,1.0,1.04
g_0,0.91,1.2,0.94,1.02,0.95,1.05,0.83,0.93,0.95,0.94,1.08,1.09,0.84,0.87,1.02,1.0
