,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.91,0.31,0.34,0.25,0.25,0.17,0.28,0.19,0.24,0.49,0.29,0.31,0.31,0.21,0.22,0.27
e_1,0.26,0.9,0.36,0.39,0.26,0.22,0.29,0.52,0.23,0.23,0.24,0.26,0.32,0.17,0.11,0.22
f_1,0.33,0.55,0.91,0.29,0.19,0.18,0.25,0.3,0.21,0.26,0.16,0.23,0.26,0.19,0.11,0.19
c_1,0.32,0.31,0.3,0.9,0.45,0.16,0.26,0.31,0.19,0.16,0.24,0.18,0.3,0.17,0.17,0.28
b_1,0.33,0.31,0.28,0.32,0.89,0.38,0.29,0.24,0.19,0.25,0.25,0.17,0.25,0.14,0.19,0.29
a_1,0.33,0.32,0.32,0.3,0.27,0.89,0.29,0.31,0.28,0.31,0.29,0.29,0.31,0.11,0.21,0.23
h_1,0.38,0.36,0.5,0.34,0.25,0.16,0.6,0.32,0.33,0.29,0.25,0.26,0.23,0.23,0.2,0.31
d_0,0.27,0.35,0.35,0.59,0.33,0.22,0.3,0.48,0.2,0.19,0.27,0.23,0.3,0.16,0.2,0.25
g_1,0.55,0.31,0.3,0.32,0.26,0.18,0.26,0.33,0.6,0.29,0.41,0.28,0.34,0.26,0.26,0.2
c_0,0.43,0.35,0.42,0.27,0.19,0.19,0.34,0.34,0.27,0.52,0.28,0.55,0.36,0.26,0.25,0.31
f_0,0.42,0.3,0.29,0.37,0.32,0.23,0.3,0.36,0.27,0.29,0.5,0.26,0.34,0.24,0.42,0.27
b_0,0.42,0.37,0.42,0.38,0.14,0.15,0.29,0.36,0.24,0.29,0.3,0.5,0.36,0.45,0.23,0.27
h_0,0.44,0.36,0.49,0.34,0.24,0.2,0.21,0.33,0.29,0.28,0.26,0.27,0.24,0.2,0.19,0.33
a_0,0.43,0.35,0.43,0.34,0.25,0.12,0.35,0.33,0.25,0.34,0.32,0.25,0.34,0.44,0.26,0.27
e_0,0.49,0.18,0.42,0.36,0.3,0.21,0.35,0.32,0.24,0.31,0.28,0.27,0.37,0.24,0.44,0.3
g_0,0.59,0.3,0.31,0.33,0.26,0.22,0.28,0.27,0.19,0.29,0.46,0.3,0.32,0.21,0.21,0.26
