,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.44,34.58,43.59,35.8,42.21,40.55,7.77,5.98,8.64,5.44,,7.14,3.86,8.11,6.96,3.02
f_1,34.75,0.44,36.15,36.74,25.0,26.03,6.89,10.53,7.84,7.21,6.38,,4.7,6.46,7.62,4.97
e_1,38.74,17.87,0.44,26.66,33.79,35.01,11.71,12.41,7.39,7.92,5.33,7.64,4.82,10.74,,6.79
c_1,43.17,51.66,37.39,0.41,43.29,33.27,7.91,9.61,,7.28,3.25,6.99,4.72,8.51,6.88,6.45
b_1,34.8,35.51,31.52,28.47,0.39,60.27,10.14,8.76,10.86,,9.36,5.75,5.41,9.65,,4.46
a_1,47.15,35.42,40.9,76.97,18.33,0.34,13.1,14.34,8.38,14.39,11.28,9.77,6.64,,8.55,6.77
h_1,19.12,16.94,18.31,16.54,16.68,15.28,0.37,6.42,3.86,3.66,3.53,3.5,,2.84,3.95,2.55
g_1,20.14,23.93,22.9,20.69,26.69,30.77,3.72,0.35,3.48,4.03,4.57,3.25,2.58,3.89,3.03,
c_0,7.95,16.4,17.28,,13.94,15.84,4.21,4.75,0.49,2.62,3.99,3.91,2.01,3.84,3.28,2.01
b_0,18.78,13.61,20.57,22.8,,15.65,4.66,4.67,1.65,0.48,4.08,3.4,1.54,4.31,4.06,2.4
d_0,,16.12,6.91,10.71,20.96,16.11,6.99,4.59,4.65,2.77,0.51,4.17,2.21,3.98,3.99,1.94
f_0,15.15,,22.08,16.38,22.76,22.49,5.15,3.56,2.89,3.1,3.32,0.46,2.44,2.74,,1.4
h_0,11.87,20.44,12.65,13.21,11.44,8.29,,2.59,2.4,2.85,2.23,2.56,,2.32,2.28,1.94
a_0,25.78,24.18,30.49,20.66,16.77,,5.86,5.34,3.75,2.46,3.67,5.83,3.3,0.38,,3.79
e_0,21.47,24.8,,23.61,,21.2,6.36,6.67,4.55,5.42,4.13,,2.22,,0.37,2.76
g_0,15.97,13.7,19.49,12.32,19.42,23.07,2.62,,2.99,3.74,3.14,2.98,1.71,1.81,2.82,
