,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.37,0.8,0.91,0.69,0.73,0.6,1.54,1.13,1.43,2.96,1.91,2.01,2.26,1.67,1.72,2.17
e_1,0.67,2.36,0.95,1.05,0.77,0.75,1.6,3.07,1.39,1.42,1.53,1.68,2.38,1.31,0.83,1.76
f_1,0.87,1.44,2.41,0.79,0.56,0.63,1.35,1.76,1.24,1.58,1.02,1.52,1.93,1.45,0.86,1.53
c_1,0.84,0.81,0.79,2.44,1.35,0.54,1.45,1.83,1.12,0.94,1.55,1.17,2.18,1.29,1.35,2.25
b_1,0.85,0.81,0.74,0.88,2.65,1.29,1.58,1.43,1.16,1.53,1.61,1.12,1.82,1.07,1.48,2.3
a_1,0.85,0.83,0.84,0.8,0.81,3.04,1.58,1.87,1.71,1.86,1.91,1.87,2.26,0.89,1.66,1.85
h_1,0.98,0.94,1.33,0.91,0.76,0.56,3.3,1.91,1.99,1.78,1.65,1.67,1.68,1.76,1.57,2.43
d_0,0.69,0.91,0.92,1.61,0.98,0.74,1.67,2.84,1.23,1.17,1.77,1.49,2.19,1.25,1.58,1.95
g_1,1.43,0.8,0.79,0.86,0.78,0.61,1.4,1.93,3.63,1.77,2.69,1.83,2.49,1.99,2.06,1.62
c_0,1.11,0.93,1.1,0.73,0.58,0.65,1.86,2.02,1.61,3.16,1.81,3.59,2.62,2.04,1.98,2.46
f_0,1.1,0.78,0.76,0.99,0.94,0.79,1.62,2.13,1.64,1.78,3.26,1.73,2.52,1.84,3.34,2.13
b_0,1.1,0.97,1.11,1.03,0.43,0.51,1.61,2.11,1.44,1.76,1.95,3.26,2.66,3.53,1.78,2.12
h_0,1.13,0.94,1.31,0.92,0.73,0.68,1.17,1.94,1.75,1.69,1.73,1.75,1.77,1.57,1.54,2.65
a_0,1.11,0.91,1.14,0.92,0.75,0.41,1.89,1.94,1.54,2.07,2.1,1.62,2.47,3.45,2.07,2.11
e_0,1.26,0.48,1.1,0.97,0.9,0.71,1.94,1.92,1.46,1.86,1.85,1.79,2.72,1.86,3.49,2.39
g_0,1.54,0.77,0.83,0.88,0.78,0.74,1.56,1.59,1.17,1.75,2.99,1.95,2.35,1.62,1.69,2.03
