,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.76,1.08,0.59,0.62,0.53,0.46,0.8,0.71,0.8,0.88,0.97,0.41,1.02,0.94,0.61,0.89
e_1,0.69,2.85,0.74,0.48,0.59,0.5,0.89,0.9,1.75,0.98,1.05,0.94,0.88,0.99,0.38,1.07
c_1,0.59,0.47,3.03,0.71,1.05,0.56,0.82,0.87,0.91,0.24,0.8,0.94,1.02,0.84,1.07,0.93
d_1,0.69,0.55,0.51,3.05,0.66,0.59,0.96,0.93,0.33,1.73,1.2,1.01,1.04,0.97,0.97,0.81
b_1,0.6,0.53,0.64,0.59,3.44,1.14,0.93,0.93,0.96,0.92,0.26,1.02,0.84,0.88,1.09,1.0
a_1,0.6,0.75,0.54,0.79,0.51,5.0,0.95,0.88,0.76,0.9,0.92,0.97,0.84,0.28,0.94,0.68
h_1,0.96,0.66,0.77,0.85,0.7,0.55,3.01,1.41,1.02,1.07,1.07,1.0,0.67,1.04,1.24,1.71
g_1,0.62,0.44,0.77,1.18,0.72,0.74,1.12,3.74,0.97,1.07,1.23,2.11,1.04,1.35,1.6,0.79
d_0,0.68,0.72,1.44,0.37,0.66,0.75,1.09,0.93,2.22,0.8,1.21,1.24,1.24,0.96,1.2,1.3
c_0,0.95,0.76,0.45,0.88,0.55,0.85,1.26,0.95,1.14,2.19,2.26,1.2,1.2,1.44,1.36,1.12
b_0,0.92,0.84,0.83,0.79,0.35,0.63,1.04,1.17,1.03,1.21,2.66,1.06,1.53,2.46,1.37,1.44
f_0,0.41,0.54,0.97,0.73,0.73,0.93,1.31,1.18,1.28,1.33,0.97,3.03,1.39,0.88,3.09,1.44
h_0,1.11,0.75,0.83,0.79,0.69,0.69,0.51,1.53,1.01,0.93,1.12,1.09,0.81,1.29,1.05,1.73
a_0,0.86,0.89,0.84,0.83,0.87,0.47,1.14,0.75,0.85,1.01,1.19,1.04,1.22,3.45,0.69,1.27
e_0,0.86,0.35,0.75,0.63,0.76,0.87,1.22,1.39,1.35,1.02,1.11,1.44,1.63,1.3,3.82,1.27
g_0,0.7,0.71,0.86,1.17,0.61,0.68,1.01,0.9,0.99,1.07,0.97,1.59,1.41,1.17,1.39,0.74
