,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.45,16.66,39.46,34.75,39.76,32.36,9.32,9.77,8.06,4.22,7.92,6.2,4.78,9.53,,5.98
f_1,33.66,0.44,35.71,41.51,35.78,44.5,6.73,10.03,5.05,5.94,,6.33,2.88,6.74,7.41,5.18
d_1,63.18,32.51,0.43,30.45,29.87,27.5,10.01,6.2,,7.75,8.17,7.48,5.73,8.5,4.01,2.71
c_1,27.71,31.12,42.11,0.42,44.56,41.98,9.23,7.98,4.49,,5.35,5.97,6.91,9.53,8.99,5.1
b_1,33.94,50.55,35.39,22.96,0.41,39.39,8.15,8.72,6.8,10.55,5.29,,5.19,6.01,8.31,4.64
a_1,59.01,43.37,43.72,46.32,24.56,0.34,11.83,13.02,8.27,8.69,9.23,14.16,4.77,,,6.37
h_1,16.05,20.65,16.07,14.0,21.37,17.01,0.37,5.09,3.36,3.06,2.85,4.12,,3.64,2.96,3.19
g_1,19.92,26.31,17.47,26.93,21.13,21.08,4.81,0.34,2.99,4.39,3.26,5.33,2.0,3.16,4.26,
d_0,8.55,17.01,,14.3,14.85,19.03,3.94,5.03,0.49,3.22,3.23,3.09,1.72,4.03,3.57,2.31
c_0,17.09,13.16,8.37,,15.56,13.64,6.0,4.1,3.89,0.5,4.63,2.76,2.53,3.21,2.27,2.11
f_0,17.87,,21.1,19.48,12.74,15.55,6.6,2.7,4.18,3.13,0.45,4.14,2.08,3.92,3.45,1.34
b_0,22.25,16.88,14.65,17.91,,17.21,4.31,4.19,4.16,1.68,4.93,0.44,2.15,3.42,,2.53
h_0,11.34,13.33,9.8,11.23,10.72,13.16,,7.18,2.37,3.12,2.71,2.0,,2.22,2.19,1.71
a_0,22.32,21.87,22.46,18.54,22.47,,7.46,5.84,4.7,3.84,4.71,2.52,3.47,0.34,,3.65
e_0,,18.47,21.81,27.01,21.82,,5.34,7.73,4.85,4.73,2.46,,3.37,,0.37,2.6
g_0,16.73,22.77,21.04,14.03,15.56,22.07,2.04,,3.0,3.8,2.29,3.07,1.39,2.68,2.89,
