,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.94,1.97,3.9,2.17,1.99,1.61,8.16,10.91,7.78,8.98,10.95,6.22,15.3,9.86,6.85,12.89
d_1,2.53,6.37,2.14,1.67,2.18,2.24,8.36,6.75,9.03,19.08,11.53,10.54,16.31,13.08,12.54,16.5
e_1,2.37,2.0,6.32,2.94,1.94,2.08,7.5,18.04,7.62,9.91,11.92,12.41,16.0,10.92,9.26,15.81
c_1,2.15,2.22,1.91,6.85,3.86,2.45,6.91,9.59,7.22,5.36,8.56,9.68,15.67,10.81,9.72,17.01
b_1,1.94,2.47,2.05,1.98,7.6,4.65,8.05,8.88,7.59,9.31,5.65,11.02,15.65,7.3,10.33,17.37
a_1,2.52,2.39,2.15,1.94,2.62,10.3,8.52,10.34,8.71,10.21,10.08,11.33,16.19,8.0,12.65,13.64
h_1,3.15,2.41,2.46,2.84,2.01,2.36,17.98,10.38,12.47,9.58,11.85,11.92,11.94,11.13,12.2,24.04
d_0,2.35,1.84,2.04,4.79,2.49,2.46,8.48,17.08,7.73,6.96,12.85,12.92,17.43,12.5,13.11,16.87
g_1,2.1,3.77,2.04,2.82,2.08,2.3,9.39,9.19,21.24,10.51,11.95,17.32,17.07,14.52,14.18,14.87
c_0,2.49,2.33,2.76,2.24,1.74,2.67,9.58,13.37,8.66,19.46,24.51,14.42,18.84,16.06,15.22,21.05
b_0,2.52,2.73,2.4,2.99,1.52,2.04,10.06,11.39,9.61,11.47,20.9,12.33,21.14,27.21,16.42,19.78
f_0,1.97,2.5,1.79,2.8,2.79,2.82,9.33,11.41,10.01,12.44,12.16,22.43,17.61,13.82,28.07,18.34
h_0,3.47,2.48,2.57,2.57,2.16,1.93,6.76,11.03,12.55,10.59,11.58,10.8,14.02,12.37,13.94,23.26
a_0,2.29,2.76,2.31,2.76,2.25,1.81,11.06,12.41,8.15,13.09,12.57,14.43,21.1,27.09,13.39,21.36
e_0,2.89,2.34,1.43,3.09,2.64,2.6,10.47,11.49,10.1,11.34,12.73,11.55,23.93,16.47,30.34,18.0
g_0,2.25,3.35,1.9,2.5,2.24,2.74,8.63,10.76,6.49,11.41,11.72,19.03,15.61,13.56,17.19,12.46
