,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.13,2.42,6.39,7.3,5.68,5.88,2.03,1.17,1.75,0.96,1.39,1.22,0.87,2.22,0.88,1.04
f_1,5.21,1.13,4.57,6.25,6.26,4.06,1.11,1.39,1.72,1.06,2.51,0.84,0.58,0.94,1.15,0.93
d_1,6.98,6.36,1.12,6.03,5.29,5.04,1.53,2.63,1.08,1.04,1.08,1.33,0.83,1.27,1.11,0.48
c_1,4.27,8.44,7.06,1.13,5.39,5.46,1.45,0.63,1.52,2.53,1.04,1.16,0.83,1.04,1.02,0.9
b_1,6.81,8.97,6.29,3.1,1.14,8.04,2.04,1.47,2.03,2.07,1.22,3.95,1.08,1.34,1.48,1.0
a_1,10.02,11.24,9.91,9.85,4.56,1.14,3.31,2.34,2.95,2.27,1.62,3.36,1.38,2.12,4.91,1.61
h_1,16.71,18.37,17.03,16.1,18.81,19.71,1.81,3.62,5.24,3.76,3.96,3.3,3.48,3.36,2.68,2.61
d_0,11.07,21.9,41.39,20.96,21.69,20.1,6.43,2.38,7.66,4.13,4.73,4.26,2.79,4.37,4.44,3.39
g_1,23.68,23.09,19.12,24.21,26.06,20.3,4.05,4.28,1.79,4.99,4.51,3.63,2.17,3.51,3.55,4.84
c_0,23.37,19.09,10.97,59.44,23.29,36.55,7.14,6.99,7.19,2.25,5.24,4.29,3.13,4.22,3.55,2.81
f_0,22.92,50.25,27.02,25.15,24.49,25.12,7.39,4.75,4.48,5.23,2.31,5.52,3.4,5.37,5.33,2.12
b_0,21.8,26.7,22.55,40.36,48.98,28.71,7.02,4.6,9.13,3.0,5.34,2.26,4.04,6.16,4.72,4.03
h_0,35.41,30.24,35.54,33.02,31.22,24.51,15.89,6.99,10.17,7.12,7.86,7.96,7.71,5.3,7.17,4.71
e_0,55.02,56.95,37.59,41.38,33.42,32.95,11.69,8.55,11.48,8.8,3.85,6.44,5.84,2.54,8.67,5.11
a_0,41.58,33.17,43.6,49.53,56.82,51.54,9.36,7.42,11.48,7.96,6.69,3.81,7.08,5.45,2.85,4.48
g_0,43.08,47.46,40.37,38.92,38.92,42.77,7.59,8.45,19.24,7.78,8.43,7.62,4.55,6.84,7.94,9.07
