,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.13,2.8,4.81,5.49,5.35,5.01,1.55,1.25,1.62,0.86,1.05,1.11,1.23,0.75,0.79,2.84
f_1,4.45,1.13,4.2,4.75,5.43,4.63,1.05,1.03,1.87,0.96,0.86,2.26,0.99,0.49,0.83,0.73
d_1,6.93,6.11,1.12,5.19,4.77,5.01,1.4,2.9,0.95,1.13,1.09,1.02,0.97,0.74,0.51,0.97
c_1,4.74,5.92,8.02,1.13,6.45,5.44,1.79,0.62,1.65,2.76,1.12,1.07,1.03,0.91,0.77,0.98
b_1,9.48,8.15,7.76,4.07,1.13,9.25,2.14,1.5,2.52,1.73,5.72,1.84,1.61,1.68,1.31,1.58
a_1,8.91,12.38,9.96,11.92,4.78,1.14,3.18,2.14,3.14,1.91,3.07,2.23,6.97,1.27,1.81,2.02
h_1,17.54,15.2,15.24,16.22,17.3,15.81,1.77,3.82,4.6,3.32,3.38,3.31,3.29,4.02,2.29,3.23
d_0,11.01,25.33,43.73,23.83,30.11,21.31,7.35,2.41,7.67,4.22,4.96,4.46,4.29,2.99,3.42,4.65
g_1,21.58,22.75,25.7,22.31,21.78,25.99,5.51,4.68,1.82,5.7,5.09,4.89,5.59,2.49,7.17,4.42
c_0,26.31,23.17,13.31,57.2,31.68,21.08,7.86,7.64,6.57,2.47,5.29,5.7,5.99,4.32,4.1,4.65
b_0,20.43,33.93,23.22,30.54,71.74,25.29,8.07,6.14,6.78,2.93,2.38,4.81,5.59,4.37,3.19,6.07
f_0,24.62,71.7,22.75,27.36,25.95,23.13,7.47,6.04,4.35,5.16,5.44,2.22,5.67,4.14,2.5,5.42
a_0,30.24,36.54,29.8,41.39,45.17,72.96,10.39,8.19,10.06,7.55,3.7,5.7,2.44,5.21,4.55,7.31
h_0,28.45,36.89,31.76,43.1,35.35,30.11,17.06,7.73,12.63,6.64,7.82,7.68,6.54,9.67,4.91,6.51
g_0,37.66,46.34,34.01,52.43,43.55,25.99,9.52,8.94,14.98,6.16,7.03,7.18,8.17,4.06,8.67,6.63
e_0,66.22,65.52,37.0,39.32,37.52,37.2,10.64,8.82,8.7,9.59,7.93,4.25,8.5,6.25,6.78,2.75
