,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,12.06,0.68,0.52,0.8,0.62,0.77,1.07,1.95,0.96,0.93,1.0,0.96,0.89,1.02,0.95,0.61
f_1,1.88,13.21,0.6,0.65,0.49,0.45,0.71,1.03,0.86,0.92,0.98,0.51,0.88,0.96,0.86,0.51
d_1,0.58,0.76,14.73,0.47,0.58,0.62,1.05,0.58,0.91,2.12,1.25,1.07,1.11,1.08,1.06,1.22
c_1,0.56,0.63,0.62,13.68,1.5,0.71,0.88,0.82,0.76,0.42,0.66,0.75,0.99,0.78,0.86,1.02
b_1,0.51,0.6,0.67,0.63,14.98,1.57,0.88,0.74,0.85,0.86,0.56,1.1,0.89,0.61,0.78,1.14
a_1,0.49,0.63,0.8,0.81,0.77,21.76,0.91,0.91,0.89,1.08,1.01,1.11,1.03,0.73,0.95,0.98
h_1,0.61,1.28,0.93,0.66,0.57,0.54,4.02,1.03,1.49,1.01,0.93,1.05,0.71,1.25,2.07,1.12
d_0,0.69,0.76,0.46,2.33,0.8,0.71,0.88,2.3,0.87,0.62,0.94,0.96,1.25,0.93,0.99,0.87
g_1,0.59,0.56,1.5,0.79,0.67,0.6,0.97,0.81,5.26,1.02,1.12,2.26,1.06,1.27,1.02,1.38
c_0,0.8,0.89,0.8,0.61,0.56,0.78,1.07,1.21,1.23,2.32,3.45,1.29,1.36,1.6,1.38,1.14
b_0,0.94,0.88,0.8,0.89,0.48,0.36,1.39,1.03,1.43,0.93,3.07,1.29,1.51,3.51,1.15,0.93
f_0,0.44,0.48,1.2,0.92,0.78,0.76,1.15,1.03,1.3,0.97,1.1,2.98,1.36,1.13,1.37,4.02
h_0,0.75,1.31,0.84,0.74,0.8,0.58,0.67,0.85,1.61,0.9,1.11,1.06,0.81,1.1,1.48,1.13
a_0,0.65,1.11,1.03,0.81,0.54,0.33,1.45,1.07,1.29,1.14,1.3,1.42,1.67,3.88,1.77,1.05
g_0,0.52,0.64,2.37,0.73,0.76,0.69,0.88,0.66,0.8,1.06,1.04,2.18,1.09,0.86,0.99,1.39
e_0,0.43,1.05,1.12,0.81,0.71,0.61,1.44,0.85,1.32,1.09,1.28,1.21,1.32,1.12,1.51,3.86
