,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,1.69,1.05,1.55,1.72,1.83,0.49,0.57,0.36,0.29,0.38,0.37,0.33,0.38,1.5,0.27
d_1,2.02,0.16,1.94,1.76,1.54,1.37,0.61,0.28,1.84,0.3,0.32,0.28,0.18,0.44,0.28,0.17
f_1,1.74,1.65,0.16,1.39,1.65,2.29,0.32,0.54,0.29,0.3,0.3,1.27,0.17,0.37,0.29,0.28
c_1,1.51,1.94,1.54,0.15,1.83,1.63,0.48,0.42,0.2,1.41,0.3,0.39,0.23,0.25,0.36,0.2
b_1,1.51,1.69,1.67,0.93,0.14,1.91,0.61,0.55,0.39,0.43,1.47,0.4,0.25,0.29,0.39,0.31
a_1,1.73,1.97,1.72,2.51,0.83,0.1,0.37,0.67,0.41,0.39,0.4,0.31,0.36,1.26,0.47,0.26
h_1,0.97,0.8,1.18,1.02,0.82,0.97,0.06,0.26,0.21,0.21,0.23,0.19,0.35,0.17,0.16,0.14
g_1,1.13,0.89,1.09,0.91,0.85,0.81,0.22,0.06,0.19,0.19,0.19,0.21,0.12,0.16,0.19,0.42
d_0,0.46,2.45,1.1,0.95,1.11,0.9,0.27,0.36,0.07,0.23,0.2,0.18,0.13,0.18,0.16,0.15
c_0,0.96,0.49,0.91,3.5,1.04,0.91,0.27,0.31,0.25,0.08,0.18,0.2,0.15,0.22,0.16,0.11
b_0,0.86,0.75,0.92,1.3,4.5,0.79,0.24,0.27,0.18,0.08,0.07,0.16,0.15,0.13,0.15,0.13
f_0,0.86,0.88,2.35,1.33,1.16,0.64,0.24,0.16,0.2,0.19,0.18,0.06,0.12,0.14,0.15,0.08
h_0,0.92,1.04,0.89,0.89,0.98,0.77,0.61,0.27,0.17,0.19,0.2,0.15,0.32,0.17,0.13,0.12
a_0,0.9,0.87,0.77,0.79,1.28,2.52,0.3,0.27,0.18,0.16,0.1,0.17,0.17,0.05,0.13,0.13
e_0,2.55,0.81,0.95,0.97,1.06,0.98,0.26,0.21,0.17,0.17,0.2,0.08,0.11,0.16,0.04,0.16
g_0,0.86,0.91,0.89,1.14,1.04,0.66,0.21,,0.25,0.21,0.21,0.17,0.1,0.16,0.15,0.27
