,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.52,2.29,1.21,1.32,1.21,0.9,4.22,5.92,5.92,4.67,6.42,1.91,8.88,6.09,5.26,7.62
e_1,1.57,5.87,1.1,1.35,1.31,1.45,4.65,10.64,5.31,4.07,7.72,5.95,10.73,6.07,3.78,8.98
d_1,1.34,1.33,6.8,1.07,1.31,1.11,4.23,2.68,12.34,4.54,7.05,8.35,9.98,8.31,6.9,10.48
c_1,1.22,1.16,1.36,6.77,2.44,1.26,4.17,5.23,1.86,4.19,4.68,5.71,8.3,6.66,6.87,8.28
b_1,1.13,1.31,1.03,1.39,7.17,2.54,5.68,6.29,5.06,4.51,2.92,7.51,9.75,3.86,6.09,9.95
a_1,1.31,1.27,1.74,1.37,1.02,10.73,4.83,6.08,5.28,5.68,5.02,6.71,9.2,2.29,8.06,8.36
h_1,2.3,1.13,1.8,1.68,1.3,1.37,16.19,6.81,6.57,7.37,7.78,6.58,4.76,9.31,8.05,14.22
d_0,1.67,1.23,0.85,3.26,1.5,1.51,6.77,15.21,5.63,6.24,6.97,7.55,12.02,7.91,8.15,10.01
c_0,2.0,1.74,1.67,1.12,1.07,1.62,6.16,6.07,16.15,6.21,15.35,7.95,11.7,11.01,9.85,11.98
g_1,1.28,1.43,2.66,1.79,1.31,1.06,5.01,7.2,6.15,20.51,8.25,12.98,10.8,5.75,8.6,5.99
b_0,1.91,1.3,2.09,1.93,0.54,1.29,6.2,9.36,6.94,5.43,17.84,6.4,11.29,17.68,8.25,10.78
f_0,1.05,0.99,2.17,2.07,1.61,1.35,7.83,6.89,9.67,5.96,8.62,20.91,11.6,9.0,17.68,13.45
h_0,2.43,1.47,1.8,1.45,1.46,2.04,2.55,6.72,6.28,7.6,7.82,7.43,6.37,5.52,7.32,14.72
a_0,1.9,1.49,1.82,1.83,1.41,0.47,7.3,7.09,9.04,6.14,9.11,7.13,11.88,23.7,7.22,11.44
e_0,1.51,0.82,1.87,1.92,1.58,1.84,8.14,7.3,8.66,5.4,8.62,6.76,12.04,8.12,25.12,14.83
g_0,1.6,1.12,3.06,1.57,1.2,1.85,5.69,5.32,8.06,3.88,10.41,11.57,11.29,7.45,9.82,7.77
