,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,36.47,0.13,0.09,0.08,0.07,0.06,0.2,0.42,0.39,0.21,0.34,,0.64,0.4,0.29,0.43
e_1,0.06,36.83,0.06,0.07,0.06,0.08,0.33,0.78,0.36,0.24,0.28,0.34,0.6,0.46,,0.53
d_1,0.08,0.05,41.32,0.07,0.07,0.09,0.22,,0.73,0.37,0.34,0.43,0.61,0.28,0.43,0.52
c_1,0.09,0.07,0.05,42.33,0.12,0.06,0.33,0.42,,0.32,0.27,0.43,0.55,0.39,0.44,0.55
b_1,0.06,0.05,0.08,0.06,44.62,0.19,0.3,0.48,0.39,0.32,,0.19,0.69,0.36,0.3,0.51
a_1,0.06,0.06,0.06,0.05,0.1,68.06,0.37,0.28,0.37,0.37,0.33,0.36,0.67,,0.37,0.89
h_1,0.37,0.26,0.28,0.2,0.32,0.15,29.61,1.39,1.43,1.61,1.54,0.96,,1.34,1.45,4.27
d_0,0.38,0.32,,0.76,0.35,0.25,2.07,17.02,1.31,1.91,2.18,1.86,3.66,1.32,1.87,2.77
c_0,0.4,0.35,0.37,,0.23,0.42,1.73,2.09,17.72,1.12,4.65,1.6,2.89,1.9,2.25,2.73
g_1,0.24,0.19,0.44,0.28,0.21,0.24,1.01,1.47,1.06,40.52,1.15,2.6,2.61,1.71,1.48,
b_0,0.46,0.5,0.35,0.39,,0.36,1.19,1.99,2.18,1.47,22.8,2.19,1.64,3.61,1.71,1.81
f_0,,0.32,0.37,0.39,0.4,0.27,1.36,1.41,1.76,0.96,2.9,25.13,3.87,1.93,4.5,3.73
h_0,0.64,0.77,0.62,0.59,0.54,0.45,,2.68,3.57,2.19,3.06,3.49,,2.08,2.47,6.24
a_0,0.36,0.22,0.23,0.32,0.29,,2.12,1.76,2.38,1.98,1.84,3.7,3.94,32.76,,2.66
e_0,0.33,,0.4,0.38,0.36,,1.85,2.12,2.64,,1.58,,4.18,2.52,39.44,
g_0,0.31,0.47,0.93,0.48,0.5,0.4,2.6,2.73,3.84,,2.87,6.21,3.82,3.83,,
