,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.22,0.95,0.91,0.89,0.74,0.6,0.68,0.69,0.59,0.61,0.6,0.51,0.52,0.43,0.57
e_1,0.83,1.0,1.21,0.92,0.95,0.81,0.74,0.77,0.89,0.63,0.66,0.71,0.61,0.56,0.59,0.64
c_1,1.0,0.83,1.0,1.16,1.22,0.89,0.72,0.67,0.49,0.55,0.52,0.58,0.61,0.57,0.61,0.59
d_1,1.08,1.08,0.88,1.0,0.97,0.8,0.71,0.53,0.63,0.84,0.71,0.64,0.62,0.67,0.61,0.49
b_1,1.12,1.02,0.85,1.01,1.0,1.25,0.76,0.75,0.65,0.8,0.7,0.68,0.63,0.61,0.62,0.58
a_1,1.38,1.21,1.15,1.26,0.82,1.0,0.99,0.78,0.77,0.73,0.86,0.66,0.72,0.65,0.63,0.59
h_1,1.64,1.37,1.41,1.38,1.27,1.0,1.0,1.06,0.91,0.88,0.88,0.79,0.89,0.8,0.82,0.96
g_1,1.48,1.36,1.47,1.85,1.35,1.29,0.95,1.0,0.92,0.96,0.93,1.12,0.83,0.99,0.96,0.85
d_0,1.45,1.15,2.08,1.56,1.55,1.25,1.06,1.12,1.0,0.8,0.92,0.89,1.04,0.89,0.88,1.04
c_0,1.68,1.67,1.63,1.21,1.28,1.37,1.15,1.03,1.2,1.0,1.26,0.97,0.99,1.04,1.0,0.83
b_0,1.68,1.59,1.88,1.41,1.39,1.18,1.17,1.06,1.04,0.78,1.0,0.97,1.04,1.18,0.89,0.95
f_0,1.62,1.4,1.74,1.53,1.49,1.45,1.28,0.9,1.11,1.03,1.0,1.0,0.97,0.93,1.25,0.82
h_0,1.89,1.68,1.68,1.65,1.62,1.33,1.11,1.24,0.96,0.99,0.95,1.05,1.0,0.94,0.83,1.01
a_0,1.88,1.79,1.75,1.55,1.73,1.45,1.27,1.0,1.02,1.01,0.87,1.1,1.0,1.0,0.9,0.95
e_0,2.18,1.76,1.65,1.63,1.69,1.48,1.23,1.08,1.15,1.0,1.13,0.83,1.26,1.11,1.0,0.98
g_0,1.72,1.61,1.72,2.01,1.69,1.55,1.08,1.22,0.96,1.16,1.06,1.25,0.95,1.02,1.0,1.0
