,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,0.9,1.36,1.9,2.38,20.18,33.24,28.38,34.82,40.31,46.71,79.39,90.87,,116.54
d_1,1.13,1.0,1.14,1.09,1.54,2.97,15.58,,18.3,31.75,36.47,50.16,61.17,86.09,113.42,92.69
f_1,1.12,0.88,1.0,1.22,1.47,3.1,11.61,24.03,22.25,22.27,43.79,,66.83,97.19,87.14,97.99
c_1,0.74,0.92,0.82,1.0,1.98,2.55,14.13,15.4,19.23,,27.31,33.15,58.55,55.44,97.67,106.04
b_1,0.53,0.65,0.68,0.5,1.0,3.18,10.46,15.09,17.99,17.83,,27.13,50.61,49.56,66.79,55.41
a_1,0.42,0.34,0.32,0.39,0.31,1.0,4.33,5.39,7.51,8.68,,10.67,21.46,,,27.68
h_1,0.05,0.06,0.09,0.07,0.1,0.23,1.0,1.3,1.97,1.68,2.38,2.69,,5.0,5.42,5.13
d_0,0.03,,0.04,0.06,0.07,0.19,0.77,1.0,0.96,1.11,1.86,1.57,3.23,3.14,2.77,4.21
g_1,0.04,0.05,0.04,0.05,0.06,0.13,0.51,1.04,1.0,0.97,1.65,2.2,2.31,3.49,4.33,
c_0,0.03,0.03,0.04,,0.06,0.12,0.59,0.9,1.04,1.0,1.67,1.5,3.96,2.28,2.85,3.13
b_0,0.02,0.03,0.02,0.04,,,0.42,0.54,0.61,0.6,1.0,1.08,2.12,3.48,1.86,2.37
f_0,0.02,0.02,,0.03,0.04,0.09,0.37,0.64,0.45,0.67,0.93,1.0,1.72,2.06,3.32,2.07
h_0,0.01,0.02,0.01,0.02,0.02,0.05,,0.31,0.43,0.25,0.47,0.58,,0.97,1.35,1.64
a_0,0.01,0.01,0.01,0.02,0.02,,0.2,0.32,0.29,0.44,0.29,0.49,1.03,1.0,,
e_0,,0.01,0.01,0.01,0.01,,0.18,0.36,0.23,0.35,0.54,0.3,0.74,,1.0,1.03
g_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.24,,0.32,0.42,0.48,0.61,,0.97,
