,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.42,0.91,0.89,0.98,0.87,0.23,0.17,0.16,0.26,0.15,0.18,0.15,0.14,0.31,0.13
f_1,0.73,0.17,0.77,0.7,0.71,0.64,0.17,0.18,0.16,0.28,0.16,0.44,0.08,0.17,0.16,0.14
c_1,0.6,0.85,0.16,1.06,0.79,0.64,0.24,0.08,0.28,0.24,0.15,0.13,0.11,0.16,0.16,0.12
d_1,1.05,0.75,0.77,0.15,0.85,0.69,0.21,0.42,0.13,0.14,0.15,0.18,0.1,0.15,0.14,0.06
b_1,0.78,1.02,0.41,0.82,0.13,0.93,0.25,0.19,0.25,0.25,0.42,0.14,0.11,0.2,0.15,0.12
a_1,0.85,0.84,0.91,0.92,0.35,0.1,0.22,0.19,0.16,0.26,0.23,0.15,0.16,0.31,0.14,0.15
h_1,0.64,0.65,0.62,0.59,0.66,0.56,0.06,0.13,0.14,0.16,0.12,0.11,0.15,0.1,0.11,0.09
d_0,0.35,0.67,0.68,1.08,0.73,0.65,0.2,0.07,0.11,0.18,0.12,0.13,0.08,0.12,0.12,0.11
c_0,0.62,0.72,1.3,0.32,0.7,0.54,0.18,0.16,0.06,0.19,0.14,0.11,0.09,0.11,0.12,0.09
g_1,0.64,0.78,0.64,0.51,0.68,0.62,0.12,0.14,0.12,0.05,0.14,0.12,0.07,0.11,0.11,0.17
b_0,0.54,0.69,0.86,0.43,1.98,0.56,0.19,0.12,0.06,0.18,0.06,0.12,0.08,0.1,0.11,0.1
f_0,0.53,1.58,0.69,0.51,0.67,0.6,0.16,0.11,0.12,0.09,0.13,0.05,0.1,0.09,0.1,0.06
h_0,0.53,0.7,0.52,0.54,0.57,0.55,0.32,0.11,0.13,0.2,0.11,0.13,0.13,0.11,0.12,0.08
a_0,0.64,0.65,0.56,0.5,0.84,1.73,0.18,0.13,0.13,0.13,0.07,0.12,0.09,0.04,0.09,0.09
e_0,0.95,0.68,0.61,0.58,0.58,0.63,0.15,0.12,0.13,0.14,0.14,0.07,0.09,0.14,0.04,0.07
g_0,0.65,0.77,0.61,0.51,0.6,0.62,0.13,0.13,0.12,0.27,0.1,0.11,0.07,0.12,0.12,0.12
