,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.42,1.24,1.02,0.79,0.92,0.86,1.97,1.48,3.68,1.8,2.52,2.22,2.68,2.12,2.0,2.35
f_1,0.94,2.4,1.69,1.02,0.83,0.78,1.96,2.48,2.04,1.65,1.91,1.57,2.56,1.65,1.18,2.36
e_1,0.85,1.1,2.45,1.29,1.02,0.81,2.0,3.9,2.09,1.72,1.92,1.86,2.87,1.91,1.43,2.41
c_1,1.11,1.0,0.89,2.51,1.7,0.81,1.84,2.05,1.53,1.61,1.43,1.95,2.66,1.68,1.87,2.18
b_1,1.07,1.1,0.89,1.08,2.65,1.62,1.99,2.29,1.83,1.64,1.58,2.0,2.68,1.4,1.93,2.43
a_1,1.16,1.21,1.08,1.11,0.82,3.04,2.03,1.92,1.97,1.78,2.15,1.87,3.03,1.26,1.69,2.39
h_1,1.16,1.52,1.12,1.06,0.99,0.91,3.48,1.94,2.21,2.19,2.12,2.27,2.26,1.62,1.87,3.02
d_0,0.85,1.05,0.99,1.88,1.3,0.99,2.1,3.25,1.67,1.81,2.07,2.0,2.87,1.94,1.84,2.62
c_0,1.25,1.25,1.09,0.97,0.79,0.77,2.25,2.36,3.44,2.1,3.85,2.41,3.08,2.86,2.02,2.71
g_1,1.68,1.04,0.91,1.06,1.07,0.78,1.91,1.82,2.37,3.83,2.36,3.3,2.96,1.62,2.23,2.07
b_0,1.35,1.28,1.02,1.13,0.87,0.67,2.34,2.24,2.54,2.16,3.68,2.26,3.53,3.77,2.19,2.7
f_0,1.42,1.02,0.94,1.18,1.21,0.84,2.04,1.93,2.75,2.11,2.38,3.71,3.2,2.0,4.41,2.77
h_0,1.28,1.42,1.0,1.09,1.03,0.85,1.66,2.22,2.31,2.66,2.26,2.24,2.64,2.1,2.05,3.37
a_0,1.19,1.27,1.19,1.27,1.11,0.51,2.41,2.28,2.47,2.31,2.6,2.21,3.33,3.94,1.98,2.82
e_0,1.22,1.24,0.99,1.13,1.23,0.89,1.94,2.25,2.48,2.01,2.22,2.49,3.36,2.14,3.86,3.39
g_0,1.72,1.0,0.91,1.01,1.13,0.92,1.93,1.69,2.62,1.63,2.15,3.01,2.74,1.99,2.31,2.14
