,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.17,10.93,13.6,14.07,13.3,9.44,4.26,3.88,1.27,,3.39,3.81,1.96,3.05,1.91,1.4
f_1,12.89,0.17,16.82,11.91,10.93,14.84,2.05,5.21,2.6,2.39,,2.23,1.32,2.73,2.13,2.51
d_1,16.32,9.38,0.16,16.57,17.74,16.15,3.33,2.07,,2.21,2.1,2.24,2.51,3.32,2.59,1.08
e_1,11.39,7.81,18.56,0.16,13.86,13.42,4.04,3.42,2.23,3.51,2.84,2.67,1.68,,,1.49
b_1,6.36,14.1,13.73,13.42,0.15,12.95,5.37,4.33,3.5,3.09,1.88,,1.3,2.07,3.87,1.9
a_1,23.59,17.62,16.15,14.12,7.03,0.09,3.01,3.26,2.26,3.56,1.82,3.28,1.52,,,2.02
h_1,2.63,3.0,3.15,4.04,3.26,4.95,0.07,1.07,0.79,0.66,0.68,0.75,,0.37,0.5,0.56
g_1,2.99,3.26,2.9,4.14,3.64,3.67,0.67,0.06,0.72,0.74,0.81,0.72,0.37,0.87,0.69,
d_0,2.48,3.1,,1.27,2.1,2.46,0.7,0.72,0.08,0.68,0.68,0.39,0.32,,0.54,0.32
c_0,,2.6,1.25,4.43,2.76,2.93,0.62,0.63,0.57,0.07,0.43,0.48,0.36,,0.55,0.34
f_0,2.29,,2.36,2.46,2.33,2.3,0.68,0.45,0.48,0.49,0.07,0.78,0.4,0.47,,0.29
b_0,4.48,2.3,1.76,2.89,,3.05,0.72,0.72,0.56,0.25,0.41,0.07,0.36,0.38,,0.47
h_0,1.35,1.72,1.9,1.15,1.9,1.45,,0.56,0.44,0.33,0.55,0.22,,0.31,0.35,0.23
e_0,3.23,4.55,3.13,,1.99,,1.12,0.49,,,0.31,0.49,0.34,0.04,,0.42
a_0,3.56,2.95,2.72,,2.44,,0.82,0.79,0.51,0.47,,,0.24,,0.05,0.3
g_0,1.86,2.18,1.74,1.4,2.57,1.88,0.31,,0.32,0.31,0.35,0.36,0.24,0.36,0.24,
