,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,0.96,1.15,0.9,0.8,0.85,0.81,0.62,0.91,0.71,0.64,0.65,0.64,0.63,0.65
f_1,1.21,1.0,0.89,1.12,0.81,0.92,0.61,0.67,0.62,0.59,0.55,0.63,0.62,0.46,0.52,0.56
d_1,1.04,1.13,1.0,0.86,1.0,0.82,0.75,0.57,0.86,0.66,0.69,0.61,0.56,0.57,0.52,0.49
c_1,0.87,0.9,1.15,1.0,1.49,0.79,0.66,0.53,0.47,0.47,0.53,0.65,0.45,0.56,0.63,0.53
b_1,1.1,1.24,1.0,0.67,1.0,1.29,0.75,0.7,0.72,0.68,0.87,0.62,0.62,0.69,0.6,0.61
a_1,1.23,1.09,1.23,1.23,0.77,1.0,0.93,1.02,0.77,0.77,0.87,0.77,0.68,0.77,0.58,0.69
h_1,1.19,1.62,1.35,1.51,1.38,1.06,1.0,1.02,0.85,0.84,0.95,0.77,0.79,0.76,0.74,1.0
g_1,1.24,1.43,1.78,1.83,1.45,1.05,0.98,1.0,0.91,0.95,0.98,1.25,0.9,0.72,0.89,0.75
c_0,1.63,1.61,1.17,1.91,1.36,1.29,1.15,1.18,1.0,1.14,1.23,1.02,1.12,0.94,0.8,0.89
d_0,1.14,1.57,1.55,2.11,1.49,1.33,1.23,1.09,0.89,1.0,1.01,0.96,0.73,0.81,0.76,0.86
b_0,1.38,1.83,1.42,2.1,1.17,0.98,1.04,1.08,0.8,1.04,1.0,0.97,1.45,1.1,0.83,0.89
f_0,1.51,1.67,1.67,1.62,1.69,1.35,1.32,0.8,0.97,0.96,1.02,1.0,0.88,1.06,1.33,0.71
a_0,1.67,1.57,1.69,2.09,1.58,1.37,1.23,1.16,0.93,1.36,0.73,1.17,1.0,1.04,0.89,1.26
h_0,1.65,2.12,1.79,1.67,1.56,1.22,1.31,1.39,1.07,1.23,0.92,0.9,0.93,1.0,0.88,1.06
e_0,1.73,2.06,1.87,1.69,1.72,1.61,1.32,1.18,1.26,1.23,1.2,0.79,1.08,1.13,1.0,0.92
g_0,1.57,1.75,2.14,1.77,1.66,1.36,1.05,1.3,1.11,1.12,1.08,1.35,0.81,0.92,1.11,1.0
